gen,train_min_mean,train_min_std,train_avg_mean,train_avg_std,train_max_mean,train_max_std,test_mean,test_std,invalid_mean
0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,14.5
1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
9,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
11,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
12,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
13,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5
14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
15,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
16,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
17,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
18,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
19,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
