gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,21,29,0.6079207920792079,0.3666683004897756,0.13861386138613863,1.0,0.1071428571428571,78,59.724137931034484,2,1.896551724137931,6,6.413793103448276,5.655172413793103,5,0.0,20.184609174728394,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
1,0,50,0.2506930693069307,0.14424814963686516,0.1188118811881188,1.0,0.09375,56,59.5,2,2.02,6,6.26,5.82,5,0.00016736984252929688,52.14747762680054,bag ( KNN ( n_neighbors = 5 ) ; final_estimator = KNN )
2,0,50,0.23306930693069308,0.17874739799771036,0.09900990099009899,1.0,0.0982142857142857,78,65.4,2,2.24,6,6.14,5.94,5,0.0007226467132568359,9.667643308639526,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
3,0,50,0.179009900990099,0.08555830472548684,0.09900990099009899,0.6336633663366337,0.09375,78,72.34,2,2.14,6,6.0,5.34,5,0.00018334388732910156,15.509837627410889,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
4,0,50,0.24198019801980203,0.23746000958341956,0.09900990099009899,1.0,0.1026785714285714,78,75.14,2,2.04,6,6.04,5.2,5,0.00018596649169921875,4.468255043029785,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
5,0,50,0.19881188118811882,0.1341551641855037,0.09900990099009899,1.0,0.1160714285714286,78,77.58,2,2.1,6,6.1,5.44,5,0.00024247169494628906,10.568816184997559,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
6,0,50,0.1697029702970297,0.047525165014711115,0.09900990099009899,0.3366336633663366,0.09375,78,77.76,2,2.06,6,6.04,5.24,5,0.00016736984252929688,4.387075424194336,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
7,0,50,0.19841584158415845,0.16885133536215513,0.09900990099009899,1.0,0.09375,78,79.12,2,2.1,6,6.1,5.34,5,0.00018548965454101562,4.409980773925781,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
8,0,50,0.17009900990099008,0.048974985062242515,0.09900990099009899,0.3465346534653465,0.1116071428571429,78,81.04,2,2.04,6,6.06,5.36,5,0.0002048015594482422,4.6307213306427,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
9,0,50,0.19841584158415843,0.16952345600843968,0.09900990099009899,1.0,0.1116071428571429,78,80.4,2,2.04,6,6.12,5.34,5,0.0001823902130126953,4.270678281784058,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
10,0,50,0.16910891089108912,0.06764166296861636,0.09900990099009899,0.504950495049505,0.0848214285714286,78,79.92,2,2.04,6,6.06,5.24,5,0.0001571178436279297,9.659517526626587,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
11,0,50,0.180990099009901,0.07943136799370162,0.09900990099009899,0.594059405940594,0.1071428571428571,78,78.62,2,2.06,6,6.0,5.22,5,0.00026416778564453125,8.164973258972168,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
12,0,50,0.1893069306930693,0.12735983432493378,0.09900990099009899,1.0,0.09375,78,79.4,2,2.0,6,6.08,5.22,5,0.0002567768096923828,11.678459167480469,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
13,0,50,0.1891089108910891,0.12952145109402008,0.09900990099009899,1.0,0.1116071428571429,78,78.9,2,1.88,6,6.08,4.88,5,0.00017690658569335938,3.2178263664245605,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
14,0,50,0.20811881188118814,0.17166717981439808,0.09900990099009899,1.0,0.1026785714285714,78,80.52,2,1.94,6,6.02,5.02,5,0.0002455711364746094,11.50403094291687,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
15,0,50,0.19366336633663367,0.17264283499653163,0.09900990099009899,1.0,0.1026785714285714,78,80.74,2,1.92,6,6.08,4.96,5,0.0002009868621826172,2.5892486572265625,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
16,0,50,0.18772277227722775,0.07638432587057431,0.09900990099009899,0.504950495049505,0.1026785714285714,78,81.12,2,2.14,6,6.1,5.44,5,0.00017976760864257812,3.6004221439361572,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
17,0,50,0.23009900990099014,0.21037271856772852,0.09900990099009899,1.0,0.0848214285714286,78,81.48,2,2.1,6,6.08,5.32,5,0.00025653839111328125,3.9494574069976807,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
18,0,50,0.18613861386138617,0.12816333564581708,0.09900990099009899,1.0,0.1116071428571429,78,82.44,2,2.1,6,6.04,5.34,5,0.0008401870727539062,9.250756025314331,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
19,0,50,0.23366336633663365,0.2081375579163709,0.09900990099009899,1.0,0.1026785714285714,78,83.66,2,1.92,6,6.08,5.14,5,0.0001780986785888672,4.060206651687622,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
20,0,50,0.23603960396039608,0.2109014081982431,0.09900990099009899,1.0,0.1160714285714286,78,83.1,2,1.98,6,6.08,5.2,5,0.00025391578674316406,9.085564851760864,bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 )
