gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,12,38,0.4651485148514852,0.3749874487328684,0.04950495049504955,1.0,0.1116071428571429,94,54.0,2,1.736842105263158,6,6.394736842105263,5.315789473684211,5,0.0,5.18919038772583,bag ( KNN ( n_neighbors = 2 ) ; n_estimators = 200 )
1,0,50,0.17227722772277226,0.10234003611423802,0.03960396039603964,0.504950495049505,0.0669642857142857,87,75.42,5,2.08,9,6.46,6.08,16,0.000171661376953125,28.20935845375061,"stack ( RF ( n_estimators = 50 ) , SVM ( C = 200 ) , GB ( n_estimators = 1 , learning_rate = 1.0 ) ; voting = soft )"
2,0,50,0.12376237623762379,0.1448423824484999,0.03960396039603964,1.0,0.0669642857142857,87,84.44,5,2.8,9,7.14,8.6,16,0.0006494522094726562,14.025696277618408,"stack ( RF ( n_estimators = 50 ) , SVM ( C = 200 ) , GB ( n_estimators = 1 , learning_rate = 1.0 ) ; voting = soft )"
3,0,50,0.12752475247524755,0.11887193201903899,0.03960396039603964,0.504950495049505,0.0669642857142857,87,88.38,5,3.34,9,7.7,10.46,16,0.0001800060272216797,11.284987688064575,"stack ( RF ( n_estimators = 50 ) , SVM ( C = 200 ) , GB ( n_estimators = 1 , learning_rate = 1.0 ) ; voting = soft )"
4,0,50,0.12079207920792082,0.10787990868812859,0.03960396039603964,0.504950495049505,0.0669642857142857,87,90.28,5,4.38,9,8.46,13.62,16,0.00017261505126953125,28.54158663749695,"stack ( RF ( n_estimators = 50 ) , SVM ( C = 200 ) , GB ( n_estimators = 1 , learning_rate = 1.0 ) ; voting = soft )"
5,0,50,0.1342574257425743,0.14691094313635858,0.03960396039603964,1.0,0.0669642857142857,87,90.88,5,4.1,9,8.42,13.3,16,0.00016379356384277344,24.07474374771118,"stack ( RF ( n_estimators = 50 ) , SVM ( C = 200 ) , GB ( n_estimators = 1 , learning_rate = 1.0 ) ; voting = soft )"
6,0,50,0.12396039603960396,0.11584141491059818,0.03960396039603964,0.504950495049505,0.0669642857142857,87,92.48,5,3.54,9,7.9,11.16,16,0.00030112266540527344,17.68193006515503,"stack ( RF ( n_estimators = 50 ) , SVM ( C = 200 ) , GB ( n_estimators = 1 , learning_rate = 1.0 ) ; voting = soft )"
7,0,50,0.13485148514851486,0.19896694280454566,0.03960396039603964,1.0,0.0669642857142857,87,94.5,5,4.08,9,8.32,12.9,16,0.00028324127197265625,19.743789196014404,"stack ( RF ( n_estimators = 50 ) , SVM ( C = 200 ) , GB ( n_estimators = 1 , learning_rate = 1.0 ) ; voting = soft )"
8,0,50,0.09603960396039606,0.10821107295543127,0.03960396039603964,0.594059405940594,0.0669642857142857,87,92.7,5,3.34,9,7.86,10.84,16,0.00019049644470214844,27.10773730278015,"stack ( RF ( n_estimators = 50 ) , SVM ( C = 200 ) , GB ( n_estimators = 1 , learning_rate = 1.0 ) ; voting = soft )"
9,0,50,0.1302970297029703,0.1373115626904925,0.03960396039603964,0.594059405940594,0.0669642857142857,87,94.46,5,3.6,9,8.02,11.52,16,0.00016069412231445312,22.218826055526733,"stack ( RF ( n_estimators = 50 ) , SVM ( C = 200 ) , GB ( n_estimators = 1 , learning_rate = 1.0 ) ; voting = soft )"
10,0,50,0.11702970297029706,0.09975344568724327,0.03960396039603964,0.40594059405940597,0.0669642857142857,87,96.16,5,3.22,9,7.64,10.12,16,0.00040984153747558594,9.831156969070435,"stack ( RF ( n_estimators = 50 ) , SVM ( C = 200 ) , GB ( n_estimators = 1 , learning_rate = 1.0 ) ; voting = soft )"
11,0,50,0.1524752475247525,0.2043925058350363,0.02970297029702973,1.0,0.0714285714285714,109,99.26,5,3.2,9,7.58,9.68,15,0.0004649162292480469,6.107569932937622,"stack ( LR ( C = 200 ) , SVM ( C = 50 , kernel = rbf ) , KNN ( n_neighbors = 10 ) ; voting = soft )"
12,0,50,0.1645544554455446,0.19464339286812932,0.02970297029702973,1.0,0.0714285714285714,109,101.88,5,3.52,9,7.8,10.72,15,0.00015926361083984375,11.996573686599731,"stack ( LR ( C = 200 ) , SVM ( C = 50 , kernel = rbf ) , KNN ( n_neighbors = 10 ) ; voting = soft )"
13,0,50,0.10970297029702972,0.092770533707213,0.02970297029702973,0.40594059405940597,0.0714285714285714,109,98.62,5,3.8,9,8.14,11.8,15,0.00017905235290527344,14.245906829833984,"stack ( LR ( C = 200 ) , SVM ( C = 50 , kernel = rbf ) , KNN ( n_neighbors = 10 ) ; voting = soft )"
14,0,50,0.09089108910891092,0.10604122175689476,0.02970297029702973,0.504950495049505,0.0714285714285714,109,100.94,5,3.6,9,8.0,11.3,15,0.0002193450927734375,10.757173538208008,"stack ( LR ( C = 200 ) , SVM ( C = 50 , kernel = rbf ) , KNN ( n_neighbors = 10 ) ; voting = soft )"
15,0,50,0.09445544554455447,0.08926740579999484,0.02970297029702973,0.504950495049505,0.0714285714285714,109,107.06,5,4.66,9,8.92,14.66,15,0.00025653839111328125,17.498554944992065,"stack ( LR ( C = 200 ) , SVM ( C = 50 , kernel = rbf ) , KNN ( n_neighbors = 10 ) ; voting = soft )"
16,0,50,0.10554455445544556,0.10570641277331201,0.02970297029702973,0.504950495049505,0.0714285714285714,109,109.58,5,4.62,9,9.04,15.02,15,0.0002124309539794922,17.452356815338135,"stack ( LR ( C = 200 ) , SVM ( C = 50 , kernel = rbf ) , KNN ( n_neighbors = 10 ) ; voting = soft )"
17,0,50,0.07663366336633665,0.05356829106538599,0.02970297029702973,0.2277227722772277,0.0714285714285714,109,107.54,5,5.2,9,9.32,16.34,15,0.00016498565673828125,16.771347522735596,"stack ( LR ( C = 200 ) , SVM ( C = 50 , kernel = rbf ) , KNN ( n_neighbors = 10 ) ; voting = soft )"
18,0,50,0.08970297029702971,0.0844412254577594,0.02970297029702973,0.504950495049505,0.0714285714285714,109,108.44,5,4.76,9,8.96,14.82,15,0.00015234947204589844,15.586919069290161,"stack ( LR ( C = 200 ) , SVM ( C = 50 , kernel = rbf ) , KNN ( n_neighbors = 10 ) ; voting = soft )"
19,0,50,0.07861386138613861,0.05699428217950242,0.02970297029702973,0.2277227722772277,0.0714285714285714,109,115.48,5,4.5,9,8.96,14.4,15,0.00022745132446289062,19.06130075454712,"stack ( LR ( C = 200 ) , SVM ( C = 50 , kernel = rbf ) , KNN ( n_neighbors = 10 ) ; voting = soft )"
20,0,50,0.07900990099009902,0.06288461697001534,0.02970297029702973,0.2376237623762376,0.0714285714285714,109,116.4,5,4.56,9,8.96,14.4,15,0.00017547607421875,16.48331379890442,"stack ( LR ( C = 200 ) , SVM ( C = 50 , kernel = rbf ) , KNN ( n_neighbors = 10 ) ; voting = soft )"
