gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,16,34,0.5000000000000001,0.41574374143609194,0.06930693069306926,1.0,0.1428571428571429,86,57.64705882352941,2,1.7647058823529411,7,6.294117647058823,5.323529411764706,6,0.0,7.345720052719116,"stack ( XGB ( n_estimators = 50 , max_depth = 200 ) )"
1,0,50,0.1374257425742574,0.07698973230569069,0.05940594059405946,0.4653465346534653,0.1026785714285714,51,58.06,5,1.9,9,7.02,6.34,14,0.0002493858337402344,17.090077877044678,"stack ( KNN ( n_neighbors = 10 ) , LR ( C = 10 , max_iter = 50 ) , NB ( var_smoothing = 1e-7 ) ; n_estimators = 5 )"
2,0,50,0.11445544554455445,0.0509938477906774,0.05940594059405946,0.2376237623762376,0.1026785714285714,51,71.9,5,2.7,9,7.64,8.74,14,0.00017786026000976562,20.58932089805603,"stack ( KNN ( n_neighbors = 10 ) , LR ( C = 10 , max_iter = 50 ) , NB ( var_smoothing = 1e-7 ) ; n_estimators = 5 )"
3,0,50,0.11386138613861385,0.13588906020235098,0.03960396039603964,1.0,0.0982142857142857,82,71.06,8,3.78,12,8.3,11.78,27,0.0002493858337402344,21.132832527160645,"stack ( KNN ( n_neighbors = 10 ) , LR ( C = 0.5 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
4,0,50,0.13247524752475248,0.18856528570716852,0.03960396039603964,1.0,0.0982142857142857,82,81.32,8,4.94,12,9.12,15.24,27,0.0002455711364746094,24.870251178741455,"stack ( KNN ( n_neighbors = 10 ) , LR ( C = 0.5 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
5,0,50,0.09801980198019805,0.14122366347458842,0.03960396039603964,1.0,0.0982142857142857,82,93.54,8,5.98,12,10.1,18.92,27,0.00023889541625976562,27.859298706054688,"stack ( KNN ( n_neighbors = 10 ) , LR ( C = 0.5 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
6,0,50,0.10811881188118813,0.18662082052616066,0.02970297029702973,1.0,0.1026785714285714,107,92.78,17,6.04,17,10.2,19.22,52,0.00023627281188964844,24.290042400360107,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.1 ) , XGB ( max_depth = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , GB ( n_estimators = 200 , learning_rate = 10 ) , SVM ( C = 10 , kernel = linear ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_leaf = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
7,0,50,0.09920792079207923,0.13776956447915056,0.02970297029702973,1.0,0.1026785714285714,107,96.26,17,6.8,17,10.6,21.42,52,0.0002512931823730469,44.09518837928772,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.1 ) , XGB ( max_depth = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , GB ( n_estimators = 200 , learning_rate = 10 ) , SVM ( C = 10 , kernel = linear ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_leaf = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
8,0,50,0.08198019801980198,0.13320478723241583,0.02970297029702973,1.0,0.1026785714285714,107,101.04,17,8.04,17,11.36,25.08,52,0.0002510547637939453,59.640116453170776,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.1 ) , XGB ( max_depth = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , GB ( n_estimators = 200 , learning_rate = 10 ) , SVM ( C = 10 , kernel = linear ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_leaf = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
9,0,50,0.08178217821782179,0.058802546180501965,0.02970297029702973,0.3564356435643564,0.1026785714285714,107,104.9,17,7.94,17,11.18,24.64,52,0.0001780986785888672,57.34404373168945,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.1 ) , XGB ( max_depth = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , GB ( n_estimators = 200 , learning_rate = 10 ) , SVM ( C = 10 , kernel = linear ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_leaf = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
10,0,50,0.07306930693069308,0.04260371994603144,0.02970297029702973,0.2277227722772277,0.1026785714285714,107,113.46,17,7.1,17,10.84,22.36,52,0.00018143653869628906,41.936882972717285,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.1 ) , XGB ( max_depth = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , GB ( n_estimators = 200 , learning_rate = 10 ) , SVM ( C = 10 , kernel = linear ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_leaf = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
