run_idx,gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
1,0,13,37,0.5923529411764705,0.24296396417838048,0.3529411764705882,1.0,0.42666666666666664,45,55.432432432432435,2,1.864864864864865,7,6.513513513513513,5.351351351351352,6,0.0,7.728095769882202,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) )"
1,1,0,50,0.45470588235294107,0.1421790381622184,0.3529411764705882,1.0,0.42666666666666664,45,45.76,2,2.18,7,6.86,6.5,6,0.00017070770263671875,5.614974737167358,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) )"
1,2,0,50,0.41999999999999993,0.1528325406028704,0.3529411764705882,1.0,0.42666666666666664,45,46.9,2,1.76,7,6.8,5.42,6,0.00011467933654785156,3.9813408851623535,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) )"
1,3,0,50,0.41588235294117637,0.13258280692473487,0.2647058823529411,1.0,0.4666666666666667,48,47.48,2,2.3,7,7.16,6.8,6,0.0001246929168701172,1.796511173248291,"vote ( XGB ( n_estimators = 3 , max_depth = 3 ) )"
1,4,0,50,0.37470588235294117,0.051888221623530295,0.2647058823529411,0.5,0.4666666666666667,48,47.92,2,2.2,7,6.94,6.32,6,9.1552734375e-05,1.3713963031768799,"vote ( XGB ( n_estimators = 3 , max_depth = 3 ) )"
1,5,0,50,0.3770588235294117,0.1120260103262603,0.2647058823529411,1.0,0.4666666666666667,48,46.1,2,2.34,7,7.16,6.92,6,9.846687316894531e-05,1.6653671264648438,"vote ( XGB ( n_estimators = 3 , max_depth = 3 ) )"
2,0,16,34,0.7211764705882352,0.2476351820541731,0.3529411764705882,1.0,0.48,86,57.64705882352941,2,1.9411764705882353,7,6.294117647058823,5.5,6,0.0,6.441821575164795,"stack ( XGB ( n_estimators = 50 , max_depth = 5 ) )"
2,1,0,50,0.5135294117647059,0.1370992114186887,0.3529411764705882,1.0,0.48,86,63.24,2,2.02,7,6.74,5.92,6,0.00015163421630859375,8.122797727584839,"stack ( XGB ( n_estimators = 50 , max_depth = 5 ) )"
2,2,0,50,0.49647058823529405,0.0953304215523901,0.3529411764705882,0.7352941176470589,0.48,86,71.82,2,1.88,7,6.92,5.8,6,0.00015163421630859375,8.415563583374023,"stack ( XGB ( n_estimators = 50 , max_depth = 5 ) )"
2,3,0,50,0.4823529411764706,0.11601813484303543,0.3529411764705882,1.0,0.48,86,75.42,2,2.1,7,6.98,6.26,6,0.0001533031463623047,8.392285585403442,"stack ( XGB ( n_estimators = 50 , max_depth = 5 ) )"
2,4,0,50,0.45294117647058824,0.118526127527117,0.3529411764705882,1.0,0.48,86,73.72,2,1.8,7,6.94,5.7,6,0.00026535987854003906,4.1294684410095215,"stack ( XGB ( n_estimators = 50 , max_depth = 5 ) )"
2,5,0,50,0.4852941176470588,0.14157419466539695,0.3529411764705882,1.0,0.48,86,82.06,2,1.82,7,7.04,6.04,6,0.00011372566223144531,6.821995973587036,"stack ( XGB ( n_estimators = 50 , max_depth = 5 ) )"
