model_string,cache_key,hit_count,accuracy,mae,training_time_sec
"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )",0,0.75,0.25,0.10941414399999871
"bag ( SVM ( C = 50 , kernel = poly ) )","bag ( SVM ( C = 50 , kernel = poly ) )",0,0.7,0.30000000000000004,0.0308093529999951
stack ( RF ( max_depth = 5 ) ),stack ( RF ( max_depth = 5 ) ),14,1.0,0.0,1.1401799049999966
vote ( NB ( var_smoothing = 1e-7 ) ),vote ( NB ( var_smoothing = 1e-7 ) ),0,0.95,0.050000000000000044,0.0025006399999938367
vote ( RF ( max_depth = 10 ) ),vote ( RF ( max_depth = 10 ) ),0,1.0,0.0,0.1840301920000229
"ada ( GB ( n_estimators = 5 ) ; n_estimators = 10 , algorithm = SAMME )","ada ( GB ( n_estimators = 5 ) ; n_estimators = 10 , algorithm = SAMME )",2,0.95,0.050000000000000044,0.0414694430000111
bag ( KNN ( n_neighbors = 3 ) ; max_features = 0.5 ),bag ( KNN ( n_neighbors = 3 ) ; max_features = 0.5 ),1,0.9,0.09999999999999998,0.01938285800000017
ada ( RF ( max_depth = 50 ) ; n_estimators = 50 ),ada ( RF ( max_depth = 50 ) ; n_estimators = 50 ),0,1.0,0.0,0.18547713499998508
bag ( NB ( var_smoothing = 1e-9 ) ),bag ( NB ( var_smoothing = 1e-9 ) ),1,0.95,0.050000000000000044,0.023581669999998667
"stack ( KNN ( n_neighbors = 2 ) ; final_estimator = NB , cv = 2 )","stack ( KNN ( n_neighbors = 2 ) ; final_estimator = NB , cv = 2 )",0,0.65,0.35,0.01809931200000392
"stack ( KNN ( n_neighbors = 2 ) ; final_estimator = NB , cv = 5 )","stack ( KNN ( n_neighbors = 2 ) ; final_estimator = NB , cv = 5 )",0,0.65,0.35,0.024403823999989527
"stack ( RF ( n_estimators = 2 , max_depth = 50 ) )","stack ( RF ( n_estimators = 2 , max_depth = 50 ) )",0,0.75,0.25,0.05549173200000723
ada ( RF ( max_depth = 50 ) ; n_estimators = 2 ),ada ( RF ( max_depth = 50 ) ; n_estimators = 2 ),1,1.0,0.0,0.18639581899998348
stack ( LR ( penalty = l1 ) ),stack ( LR ( penalty = l1 ) ),8,1.0,0.0,0.03639135700001361
"ada ( RF ( n_estimators = 50 , max_depth = 3 ) ; n_estimators = 1 , algorithm = SAMME )","ada ( RF ( n_estimators = 50 , max_depth = 3 ) ; n_estimators = 1 , algorithm = SAMME )",0,1.0,0.0,0.09272248799999261
bag ( KNN ( n_neighbors = 10 ) ; max_features = 0.5 ),bag ( KNN ( n_neighbors = 10 ) ; max_features = 0.5 ),1,1.0,0.0,0.017037041999998337
"bag ( KNN ( n_neighbors = 2 ) ; n_estimators = 1 , max_features = 1.0 )","bag ( KNN ( n_neighbors = 2 ) ; n_estimators = 1 , max_features = 1.0 )",0,0.7,0.30000000000000004,0.0024673250000262215
"bag ( KNN ( n_neighbors = 10 ) ; n_estimators = 2 , max_samples = 1.0 )","bag ( KNN ( n_neighbors = 10 ) ; n_estimators = 2 , max_samples = 1.0 )",0,0.7,0.30000000000000004,0.004789993999992248
vote ( RF ( max_depth = 50 ) ),vote ( RF ( max_depth = 50 ) ),5,1.0,0.0,0.17434700200001885
"ada ( RF ( max_depth = 50 ) ; n_estimators = 10 , learning_rate = 0.5 )","ada ( RF ( max_depth = 50 ) ; n_estimators = 10 , learning_rate = 0.5 )",1,1.0,0.0,0.18710667199999875
"bag ( SVM ( C = 50 , kernel = linear ) )","bag ( SVM ( C = 50 , kernel = linear ) )",0,1.0,0.0,0.8739537710000036
bag ( KNN ( n_neighbors = 10 ) ; max_features = 10 ),bag ( KNN ( n_neighbors = 10 ) ; max_features = 10 ),0,0.75,0.25,0.022200368000000026
ada ( RF ( max_depth = 5 ) ; learning_rate = 0.1 ),ada ( RF ( max_depth = 5 ) ; learning_rate = 0.1 ),1,1.0,0.0,0.18993903099999443
"stack ( GB ( n_estimators = 1 , learning_rate = 0.5 ) )","stack ( GB ( n_estimators = 1 , learning_rate = 0.5 ) )",1,0.75,0.25,0.0535689669999897
"vote ( RF ( n_estimators = 10 , max_depth = 10 ) )","vote ( RF ( n_estimators = 10 , max_depth = 10 ) )",0,0.9,0.09999999999999998,0.019357603999992534
stack ( LR ( C = 0.5 ) ),stack ( LR ( C = 0.5 ) ),1,1.0,0.0,1.404617447000021
stack ( RF ( max_depth = 10 ) ),stack ( RF ( max_depth = 10 ) ),0,1.0,0.0,1.1174374740000133
"ada ( RF ( max_depth = 50 ) ; n_estimators = 10 , learning_rate = 0.1 )","ada ( RF ( max_depth = 50 ) ; n_estimators = 10 , learning_rate = 0.1 )",0,1.0,0.0,0.18171312399999806
"stack ( LR ( C = 0.1 , max_iter = 5 ) )","stack ( LR ( C = 0.1 , max_iter = 5 ) )",0,0.65,0.35,0.041524416999976665
"stack ( NB ( var_smoothing = 1e-8 ) , SVM ( C = 0.1 ) )","stack ( NB ( var_smoothing = 1e-8 ) , SVM ( C = 0.1 ) )",0,0.95,0.050000000000000044,0.04590209099998788
stack ( SVM ( kernel = rbf ) ),stack ( SVM ( kernel = rbf ) ),0,0.7,0.30000000000000004,0.027191353000006302
ada ( RF ( max_depth = 50 ) ; n_estimators = 10 ),ada ( RF ( max_depth = 50 ) ; n_estimators = 10 ),1,1.0,0.0,0.24983099700000366
stack ( RF ( max_depth = 1 ) ),stack ( RF ( max_depth = 1 ) ),1,1.0,0.0,1.0747575970000014
"ada ( RF ( max_depth = 50 ) ; n_estimators = 10 , learning_rate = 1.0 )","ada ( RF ( max_depth = 50 ) ; n_estimators = 10 , learning_rate = 1.0 )",0,1.0,0.0,0.1765423319999968
ada ( RF ( max_depth = 50 ) ; learning_rate = 10 ),ada ( RF ( max_depth = 50 ) ; learning_rate = 10 ),6,1.0,0.0,0.1783447370000033
stack ( RF ( n_estimators = 10 ) ),stack ( RF ( n_estimators = 10 ) ),2,0.9,0.09999999999999998,0.12363586799997961
ada ( RF ( max_depth = 1 ) ; algorithm = SAMME ),ada ( RF ( max_depth = 1 ) ; algorithm = SAMME ),0,1.0,0.0,8.574666891999982
"vote ( RF ( n_estimators = 10 , max_depth = 5 ) )","vote ( RF ( n_estimators = 10 , max_depth = 5 ) )",0,0.9,0.09999999999999998,0.019579415999999128
vote ( SVM ( C = 0.1 ) ; voting = soft ),vote ( SVM ( C = 0.1 ) ; voting = soft ),0,0.65,0.35,0.010117171999979746
ada ( RF ( max_depth = 10 ) ; algorithm = SAMME ),ada ( RF ( max_depth = 10 ) ; algorithm = SAMME ),2,1.0,0.0,0.1870466130000068
"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 10 , max_samples = 0.5 )","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 10 , max_samples = 0.5 )",0,0.6,0.4,0.014733931000023404
ada ( RF ( max_depth = 5 ) ; learning_rate = 1.0 ),ada ( RF ( max_depth = 5 ) ; learning_rate = 1.0 ),1,1.0,0.0,0.2153967659999978
bag ( KNN ( n_neighbors = 10 ) ; n_estimators = 5 ),bag ( KNN ( n_neighbors = 10 ) ; n_estimators = 5 ),0,0.8,0.19999999999999996,0.010022634000023345
stack ( LR ( C = 1.0 ) ),stack ( LR ( C = 1.0 ) ),0,1.0,0.0,1.4647664959999815
"ada ( RF ( max_depth = 50 ) ; n_estimators = 5 , learning_rate = 1.0 )","ada ( RF ( max_depth = 50 ) ; n_estimators = 5 , learning_rate = 1.0 )",4,1.0,0.0,0.19384975900001677
ada ( LR ( penalty = l1 ) ; n_estimators = 5 ),ada ( LR ( penalty = l1 ) ; n_estimators = 5 ),0,0.7,0.30000000000000004,0.014934815999993134
"stack ( LR ( C = 0.1 , max_iter = 50 ) , KNN ( n_neighbors = 50 ) , GB ( n_estimators = 1 ) )","stack ( LR ( C = 0.1 , max_iter = 50 ) , KNN ( n_neighbors = 50 ) , GB ( n_estimators = 1 ) )",0,0.95,0.050000000000000044,0.1755564659999891
ada ( RF ( max_depth = 50 ) ; n_estimators = 5 ),ada ( RF ( max_depth = 50 ) ; n_estimators = 5 ),0,1.0,0.0,0.21043307699997627
stack ( KNN ( n_neighbors = 2 ) ),stack ( KNN ( n_neighbors = 2 ) ),2,0.65,0.35,0.019687947000022632
ada ( RF ( max_depth = 3 ) ; n_estimators = 10 ),ada ( RF ( max_depth = 3 ) ; n_estimators = 10 ),0,1.0,0.0,0.19263729099998272
ada ( RF ( max_depth = 3 ) ; learning_rate = 0.1 ),ada ( RF ( max_depth = 3 ) ; learning_rate = 0.1 ),0,1.0,0.0,0.1764383020000082
vote ( LR ( C = 1.0 ) ; voting = soft ),vote ( LR ( C = 1.0 ) ; voting = soft ),0,0.95,0.050000000000000044,0.2256846699999926
