model_string,cache_key,hit_count,accuracy,mae,training_time_sec
"stack ( DT ( max_depth = 2 , criterion = entropy ) ; cv = 5 )","stack ( DT ( max_depth = 2 , criterion = entropy ) ; cv = 5 )",2,0.921875,0.078125,0.1293856969969056
"stack ( KNN ( n_neighbors = 2 ) ; final_estimator = NB , cv = 2 )","stack ( KNN ( n_neighbors = 2 ) ; final_estimator = NB , cv = 2 )",0,0.9375,0.0625,0.16013674599889782
stack ( KNN ( n_neighbors = 3 ) ; cv = 5 ),stack ( KNN ( n_neighbors = 3 ) ; cv = 5 ),18,0.96875,0.03125,0.1757803669970599
bag ( KNN ( n_neighbors = 3 ) ; max_features = 0.5 ),bag ( KNN ( n_neighbors = 3 ) ; max_features = 0.5 ),0,0.9375,0.0625,0.19483358400248108
bag ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 5 ),bag ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 5 ),0,0.953125,0.046875,0.20930771500206902
vote ( NB ( var_smoothing = 1e-7 ) ; voting = hard ),vote ( NB ( var_smoothing = 1e-7 ) ; voting = hard ),4,0.953125,0.046875,0.025154792001558235
vote ( XGB ( n_estimators = 3 ) ; voting = soft ),vote ( XGB ( n_estimators = 3 ) ; voting = soft ),0,0.890625,0.109375,0.0427481490005448
ada ( NB ( var_smoothing = 1e-7 ) ; learning_rate = 50 ),ada ( NB ( var_smoothing = 1e-7 ) ; learning_rate = 50 ),0,0.484375,0.515625,0.19803915499869618
"bag ( XGB ( n_estimators = 3 , max_depth = 3 ) ; n_estimators = 3 , max_samples = 0.1 )","bag ( XGB ( n_estimators = 3 , max_depth = 3 ) ; n_estimators = 3 , max_samples = 0.1 )",0,0.875,0.125,0.28366615399863804
"vote ( GB ( n_estimators = 10 , learning_rate = 50 ) ; voting = hard )","vote ( GB ( n_estimators = 10 , learning_rate = 50 ) ; voting = hard )",0,0.609375,0.390625,0.13303084400104126
stack ( NB ( var_smoothing = 1e-9 ) ; cv = 5 ),stack ( NB ( var_smoothing = 1e-9 ) ; cv = 5 ),3,0.953125,0.046875,0.13232367399905343
"ada ( GB ( n_estimators = 5 , learning_rate = 10 ) ; algorithm = SAMME )","ada ( GB ( n_estimators = 5 , learning_rate = 10 ) ; algorithm = SAMME )",0,0.640625,0.359375,0.38936692199786194
ada ( RF ( max_depth = 50 ) ; n_estimators = 50 ),ada ( RF ( max_depth = 50 ) ; n_estimators = 50 ),1,0.921875,0.078125,0.5201706170009857
"ada ( GB ( n_estimators = 5 ) ; n_estimators = 10 , algorithm = SAMME )","ada ( GB ( n_estimators = 5 ) ; n_estimators = 10 , algorithm = SAMME )",3,0.953125,0.046875,0.5793639809999149
"ada ( RF ( max_depth = 1 ) ; n_estimators = 2 , learning_rate = 50 )","ada ( RF ( max_depth = 1 ) ; n_estimators = 2 , learning_rate = 50 )",0,0.625,0.375,0.6172944479985745
"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )",0,0.953125,0.046875,0.361638946000312
stack ( RF ( max_depth = 5 ) ),stack ( RF ( max_depth = 5 ) ),0,0.921875,0.078125,1.1743721130005724
ada ( XGB ( max_depth = 2 ) ),ada ( XGB ( max_depth = 2 ) ),0,0.625,0.375,2.004542743001366
"ada ( RF ( n_estimators = 2 , max_depth = 5 ) ; n_estimators = 1 , learning_rate = 50 )","ada ( RF ( n_estimators = 2 , max_depth = 5 ) ; n_estimators = 1 , learning_rate = 50 )",0,0.890625,0.109375,0.07250349199966877
vote ( GB ( n_estimators = 2 ) ; voting = soft ),vote ( GB ( n_estimators = 2 ) ; voting = soft ),0,0.890625,0.109375,0.07963185199696454
"stack ( DT ( max_depth = 2 , min_samples_split = 0.1 ) ; cv = 2 )","stack ( DT ( max_depth = 2 , min_samples_split = 0.1 ) ; cv = 2 )",0,0.921875,0.078125,0.10789418800050044
vote ( NB ( var_smoothing = 1e-7 ) ; voting = soft ),vote ( NB ( var_smoothing = 1e-7 ) ; voting = soft ),1,0.953125,0.046875,0.02704600599827245
"stack ( DT ( max_depth = 3 , criterion = entropy ) ; final_estimator = LR , cv = 1 )","stack ( DT ( max_depth = 3 , criterion = entropy ) ; final_estimator = LR , cv = 1 )",0,0.90625,0.09375,0.14102610999907483
"stack ( DT ( max_depth = 5 , criterion = entropy ) ; final_estimator = GB )","stack ( DT ( max_depth = 5 , criterion = entropy ) ; final_estimator = GB )",0,0.875,0.125,0.1823423579990049
stack ( SVM ( C = 0.1 ) ; final_estimator = NB ),stack ( SVM ( C = 0.1 ) ; final_estimator = NB ),1,0.96875,0.03125,0.178920828999253
vote ( NB ( var_smoothing = 1e-8 ) ; voting = soft ),vote ( NB ( var_smoothing = 1e-8 ) ; voting = soft ),3,0.953125,0.046875,0.023827021999750286
"ada ( GB ( n_estimators = 2 , learning_rate = 10 ) ; algorithm = SAMME )","ada ( GB ( n_estimators = 2 , learning_rate = 10 ) ; algorithm = SAMME )",0,0.84375,0.15625,0.2308011909990455
stack ( KNN ( n_neighbors = 3 ) ; cv = 3 ),stack ( KNN ( n_neighbors = 3 ) ; cv = 3 ),20,0.96875,0.03125,0.20324637800149503
stack ( KNN ( n_neighbors = 3 ) ; cv = 3 ),stack ( KNN ( n_neighbors = 3 ) ; cv = 3 ),0,0.96875,0.03125,0.19757868600208894
ada ( NB ( var_smoothing = 1e-9 ) ; learning_rate = 50 ),ada ( NB ( var_smoothing = 1e-9 ) ; learning_rate = 50 ),0,0.484375,0.515625,0.15312425499723759
vote ( NB ( var_smoothing = 1e-6 ) ; voting = soft ),vote ( NB ( var_smoothing = 1e-6 ) ; voting = soft ),1,0.953125,0.046875,0.02577075799854356
"stack ( NB ( var_smoothing = 1e-9 ) ; final_estimator = RF , cv = 10 )","stack ( NB ( var_smoothing = 1e-9 ) ; final_estimator = RF , cv = 10 )",0,0.953125,0.046875,0.3142495140018582
"stack ( NB ( var_smoothing = 1e-7 ) ; final_estimator = KNN , cv = 50 )","stack ( NB ( var_smoothing = 1e-7 ) ; final_estimator = KNN , cv = 50 )",0,0.953125,0.046875,0.30652378800004954
"bag ( DT ( max_depth = 3 , criterion = entropy ) ; n_estimators = 3 , max_samples = 0.5 )","bag ( DT ( max_depth = 3 , criterion = entropy ) ; n_estimators = 3 , max_samples = 0.5 )",0,0.875,0.125,0.036589821000234224
stack ( KNN ( n_neighbors = 3 ) ; cv = 1 ),stack ( KNN ( n_neighbors = 3 ) ; cv = 1 ),0,0.96875,0.03125,0.2072468909973395
"ada ( GB ( n_estimators = 1 ) ; n_estimators = 3 , learning_rate = 0.5 )","ada ( GB ( n_estimators = 1 ) ; n_estimators = 3 , learning_rate = 0.5 )",0,0.90625,0.09375,0.10650588199860067
"stack ( NB ( var_smoothing = 1e-9 ) ; final_estimator = KNN , cv = 3 )","stack ( NB ( var_smoothing = 1e-9 ) ; final_estimator = KNN , cv = 3 )",0,0.953125,0.046875,0.2634521370018774
"stack ( NB ( var_smoothing = 1e-8 ) ; final_estimator = DT , cv = 1 )","stack ( NB ( var_smoothing = 1e-8 ) ; final_estimator = DT , cv = 1 )",2,0.953125,0.046875,0.22076983200167888
"ada ( GB ( n_estimators = 10 ) ; n_estimators = 5 , learning_rate = 10 )","ada ( GB ( n_estimators = 10 ) ; n_estimators = 5 , learning_rate = 10 )",0,0.859375,0.140625,0.6355754559990601
"bag ( RF ( n_estimators = 10 , max_depth = 3 ) ; max_features = 0.5 )","bag ( RF ( n_estimators = 10 , max_depth = 3 ) ; max_features = 0.5 )",1,0.921875,0.078125,0.4033715170007781
ada ( RF ( max_depth = 50 ) ; learning_rate = 50 ),ada ( RF ( max_depth = 50 ) ; learning_rate = 50 ),0,0.9375,0.0625,0.5982922130024235
ada ( RF ( max_depth = 50 ) ; n_estimators = 2 ),ada ( RF ( max_depth = 50 ) ; n_estimators = 2 ),0,0.9375,0.0625,0.5660815390001517
"ada ( RF ( max_depth = 1 ) ; n_estimators = 2 , learning_rate = 0.5 )","ada ( RF ( max_depth = 1 ) ; n_estimators = 2 , learning_rate = 0.5 )",0,0.890625,0.109375,0.919356346999848
"ada ( RF ( max_depth = 1 ) ; n_estimators = 3 , learning_rate = 50 )","ada ( RF ( max_depth = 1 ) ; n_estimators = 3 , learning_rate = 50 )",0,0.890625,0.109375,1.0532860309976968
bag ( XGB ( max_depth = 5 ) ; n_estimators = 5 ),bag ( XGB ( max_depth = 5 ) ; n_estimators = 5 ),0,0.921875,0.078125,0.8929750509996666
"stack ( RF ( max_depth = 1 ) , GB ( n_estimators = 3 ) , NB ( var_smoothing = 1e-6 ) ; cv = 50 )","stack ( RF ( max_depth = 1 ) , GB ( n_estimators = 3 ) , NB ( var_smoothing = 1e-6 ) ; cv = 50 )",0,0.9375,0.0625,1.1219767649999994
vote ( NB ( var_smoothing = 1e-9 ) ; voting = hard ),vote ( NB ( var_smoothing = 1e-9 ) ; voting = hard ),0,0.953125,0.046875,0.05992360199888935
"stack ( SVM ( C = 50 , kernel = poly ) ; final_estimator = GB )","stack ( SVM ( C = 50 , kernel = poly ) ; final_estimator = GB )",5,0.96875,0.03125,0.11851111199939623
vote ( KNN ( n_neighbors = 3 ) ; voting = soft ),vote ( KNN ( n_neighbors = 3 ) ; voting = soft ),2,0.96875,0.03125,0.002870985001209192
stack ( RF ( n_estimators = 1 ) ; cv = 1 ),stack ( RF ( n_estimators = 1 ) ; cv = 1 ),0,0.875,0.125,0.11465562000012142
stack ( KNN ( n_neighbors = 2 ) ; final_estimator = LR ),stack ( KNN ( n_neighbors = 2 ) ; final_estimator = LR ),0,0.9375,0.0625,0.14704063600220252
stack ( KNN ( n_neighbors = 3 ) ; cv = 10 ),stack ( KNN ( n_neighbors = 3 ) ; cv = 10 ),5,0.96875,0.03125,0.16241418000208796
"vote ( LR ( penalty = l2 ) , XGB ( n_estimators = 10 , max_depth = 1 ) ; voting = hard )","vote ( LR ( penalty = l2 ) , XGB ( n_estimators = 10 , max_depth = 1 ) ; voting = hard )",0,0.953125,0.046875,0.16936580699984916
stack ( KNN ( n_neighbors = 3 ) ; cv = 2 ),stack ( KNN ( n_neighbors = 3 ) ; cv = 2 ),7,0.96875,0.03125,0.1573582390010415
stack ( KNN ( n_neighbors = 3 ) ; cv = 10 ),stack ( KNN ( n_neighbors = 3 ) ; cv = 10 ),0,0.96875,0.03125,0.14513490500030457
"stack ( DT ( max_depth = 2 , min_samples_split = 0.1 ) ; cv = 10 )","stack ( DT ( max_depth = 2 , min_samples_split = 0.1 ) ; cv = 10 )",2,0.921875,0.078125,0.08827276999727474
vote ( GB ( n_estimators = 2 ) ; voting = hard ),vote ( GB ( n_estimators = 2 ) ; voting = hard ),0,0.90625,0.09375,0.034951024998008506
"stack ( NB ( var_smoothing = 1e-9 ) ; final_estimator = GB , cv = 10 )","stack ( NB ( var_smoothing = 1e-9 ) ; final_estimator = GB , cv = 10 )",0,0.953125,0.046875,0.22586684199995943
stack ( NB ( var_smoothing = 1e-9 ) ; cv = 3 ),stack ( NB ( var_smoothing = 1e-9 ) ; cv = 3 ),0,0.953125,0.046875,0.2799296660014079
stack ( KNN ( n_neighbors = 3 ) ; cv = 2 ),stack ( KNN ( n_neighbors = 3 ) ; cv = 2 ),0,0.96875,0.03125,0.12645999300002586
"stack ( NB ( var_smoothing = 1e-6 ) ; final_estimator = RF , cv = 10 )","stack ( NB ( var_smoothing = 1e-6 ) ; final_estimator = RF , cv = 10 )",0,0.953125,0.046875,0.19606356499934918
"stack ( NB ( var_smoothing = 1e-7 ) ; final_estimator = KNN , cv = 3 )","stack ( NB ( var_smoothing = 1e-7 ) ; final_estimator = KNN , cv = 3 )",0,0.953125,0.046875,0.22638415199980955
"stack ( DT ( criterion = log_loss ) , NB ( var_smoothing = 1e-9 ) ; final_estimator = LR )","stack ( DT ( criterion = log_loss ) , NB ( var_smoothing = 1e-9 ) ; final_estimator = LR )",0,0.921875,0.078125,0.29065212400018936
"ada ( GB ( n_estimators = 5 ) ; n_estimators = 1 , algorithm = SAMME )","ada ( GB ( n_estimators = 5 ) ; n_estimators = 1 , algorithm = SAMME )",0,0.90625,0.09375,0.05452669700025581
stack ( NB ( var_smoothing = 1e-9 ) ; cv = 50 ),stack ( NB ( var_smoothing = 1e-9 ) ; cv = 50 ),2,0.953125,0.046875,0.1629908239992801
vote ( LR ( penalty = elasticnet ) ; voting = soft ),vote ( LR ( penalty = elasticnet ) ; voting = soft ),1,0.96875,0.03125,0.0990448929987906
"stack ( KNN ( n_neighbors = 3 ) , RF ( n_estimators = 1 ) ; cv = 1 )","stack ( KNN ( n_neighbors = 3 ) , RF ( n_estimators = 1 ) ; cv = 1 )",0,0.9375,0.0625,0.15059051500065834
"stack ( KNN ( n_neighbors = 5 ) , NB ( var_smoothing = 1e-7 ) ; final_estimator = XGB , cv = 50 )","stack ( KNN ( n_neighbors = 5 ) , NB ( var_smoothing = 1e-7 ) ; final_estimator = XGB , cv = 50 )",0,0.953125,0.046875,0.29848410900012823
"bag ( RF ( n_estimators = 10 , max_depth = 3 ) ; max_features = 0.1 )","bag ( RF ( n_estimators = 10 , max_depth = 3 ) ; max_features = 0.1 )",0,0.9375,0.0625,0.2301421060001303
ada ( RF ( max_depth = 1 ) ; n_estimators = 3 ),ada ( RF ( max_depth = 1 ) ; n_estimators = 3 ),0,0.921875,0.078125,0.6160650079982588
stack ( XGB ( max_depth = 2 ) ; cv = 3 ),stack ( XGB ( max_depth = 2 ) ; cv = 3 ),2,0.96875,0.03125,0.49184426099964185
vote ( KNN ( n_neighbors = 3 ) ; voting = hard ),vote ( KNN ( n_neighbors = 3 ) ; voting = hard ),3,0.96875,0.03125,0.010225640999124153
vote ( NB ( var_smoothing = 1e-9 ) ; voting = soft ),vote ( NB ( var_smoothing = 1e-9 ) ; voting = soft ),1,0.953125,0.046875,0.03475129300204571
"stack ( LR ( C = 1.0 , max_iter = 3 ) ; final_estimator = KNN , cv = 5 )","stack ( LR ( C = 1.0 , max_iter = 3 ) ; final_estimator = KNN , cv = 5 )",1,0.96875,0.03125,0.09525348900206154
"stack ( DT ( max_depth = 2 , min_samples_split = 0.4 ) ; cv = 10 )","stack ( DT ( max_depth = 2 , min_samples_split = 0.4 ) ; cv = 10 )",0,0.921875,0.078125,0.1420837900004699
stack ( KNN ( n_neighbors = 3 ) ; final_estimator = LR ),stack ( KNN ( n_neighbors = 3 ) ; final_estimator = LR ),0,0.96875,0.03125,0.22276340399912442
stack ( KNN ( n_neighbors = 3 ) ; final_estimator = LR ),stack ( KNN ( n_neighbors = 3 ) ; final_estimator = LR ),0,0.96875,0.03125,0.18295559900070657
"stack ( SVM ( C = 0.1 ) ; final_estimator = DT , cv = 5 )","stack ( SVM ( C = 0.1 ) ; final_estimator = DT , cv = 5 )",0,0.96875,0.03125,0.14519172400105163
vote ( KNN ( n_neighbors = 10 ) ; voting = hard ),vote ( KNN ( n_neighbors = 10 ) ; voting = hard ),1,0.96875,0.03125,0.003769326998735778
stack ( KNN ( n_neighbors = 5 ) ; cv = 10 ),stack ( KNN ( n_neighbors = 5 ) ; cv = 10 ),5,0.984375,0.015625,0.14852303299994674
"stack ( RF ( n_estimators = 2 , max_depth = 50 ) ; cv = 5 )","stack ( RF ( n_estimators = 2 , max_depth = 50 ) ; cv = 5 )",0,0.90625,0.09375,0.16784759299844154
stack ( KNN ( n_neighbors = 2 ) ; final_estimator = DT ),stack ( KNN ( n_neighbors = 2 ) ; final_estimator = DT ),1,0.9375,0.0625,0.12440413700096542
"stack ( RF ( n_estimators = 10 , max_depth = 10 ) ; cv = 5 )","stack ( RF ( n_estimators = 10 , max_depth = 10 ) ; cv = 5 )",0,0.921875,0.078125,0.4840195049982867
stack ( XGB ( n_estimators = 2 ) ; final_estimator = XGB ),stack ( XGB ( n_estimators = 2 ) ; final_estimator = XGB ),0,0.875,0.125,0.4334226970022428
"stack ( RF ( n_estimators = 10 , max_depth = 10 ) ; cv = 5 )","stack ( RF ( n_estimators = 10 , max_depth = 10 ) ; cv = 5 )",0,0.921875,0.078125,0.3887252869972144
"vote ( RF ( max_depth = 1 ) , NB ( var_smoothing = 1e-8 ) ; voting = soft )","vote ( RF ( max_depth = 1 ) , NB ( var_smoothing = 1e-8 ) ; voting = soft )",0,0.953125,0.046875,0.5232049450023624
