gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,16,34,1.0,0.0,1.0,1.0,1.0,93,57.64705882352941,2,1.7647058823529411,6,6.294117647058823,5.323529411764706,5,0.0,0.05190324783325195,"bag ( LR ( C = 50 , max_iter = 200 ) )"
1,0,50,1.0,0.0,1.0,1.0,1.0,93,61.96,2,1.9,6,6.54,5.86,5,0.00012540817260742188,0.09107232093811035,"bag ( LR ( C = 50 , max_iter = 200 ) )"
2,0,50,1.0,0.0,1.0,1.0,1.0,93,57.48,2,1.84,6,6.5,5.78,5,0.00018644332885742188,0.09263277053833008,"bag ( LR ( C = 50 , max_iter = 200 ) )"
3,0,50,1.0,0.0,1.0,1.0,1.0,93,62.24,2,2.16,6,6.7,6.64,5,0.00019550323486328125,0.10764074325561523,"bag ( LR ( C = 50 , max_iter = 200 ) )"
4,0,50,1.0,0.0,1.0,1.0,1.0,93,61.06,2,2.3,6,6.68,6.72,5,0.00012946128845214844,0.09273648262023926,"bag ( LR ( C = 50 , max_iter = 200 ) )"
5,0,50,1.0,0.0,1.0,1.0,1.0,93,63.96,2,2.02,6,6.58,6.16,5,0.00012540817260742188,0.08965063095092773,"bag ( LR ( C = 50 , max_iter = 200 ) )"
6,0,50,1.0,0.0,1.0,1.0,1.0,93,61.78,2,2.24,6,6.9,7.02,5,0.00013947486877441406,0.09733939170837402,"bag ( LR ( C = 50 , max_iter = 200 ) )"
7,0,50,1.0,0.0,1.0,1.0,1.0,93,70.24,2,2.06,6,6.8,6.52,5,0.00022411346435546875,0.10478734970092773,"bag ( LR ( C = 50 , max_iter = 200 ) )"
8,0,50,1.0,0.0,1.0,1.0,1.0,93,68.26,2,2.18,6,6.82,6.82,5,0.0001342296600341797,0.09562873840332031,"bag ( LR ( C = 50 , max_iter = 200 ) )"
9,0,50,1.0,0.0,1.0,1.0,1.0,93,73.78,2,2.26,6,6.82,6.88,5,0.0001266002655029297,0.09489202499389648,"bag ( LR ( C = 50 , max_iter = 200 ) )"
10,0,50,1.0,0.0,1.0,1.0,1.0,93,72.04,2,2.12,6,6.72,6.48,5,0.0001277923583984375,0.09511828422546387,"bag ( LR ( C = 50 , max_iter = 200 ) )"
11,0,50,1.0,0.0,1.0,1.0,1.0,93,71.06,2,2.38,6,6.74,7.12,5,0.0001304149627685547,0.1028296947479248,"bag ( LR ( C = 50 , max_iter = 200 ) )"
12,0,50,1.0,0.0,1.0,1.0,1.0,93,71.32,2,2.4,6,6.96,7.42,5,0.0001270771026611328,0.10027718544006348,"bag ( LR ( C = 50 , max_iter = 200 ) )"
13,0,50,1.0,0.0,1.0,1.0,1.0,93,69.52,2,2.46,6,7.02,7.68,5,0.00012564659118652344,0.10470080375671387,"bag ( LR ( C = 50 , max_iter = 200 ) )"
14,0,50,1.0,0.0,1.0,1.0,1.0,93,73.22,2,2.66,6,7.24,8.2,5,0.00012493133544921875,0.11688590049743652,"bag ( LR ( C = 50 , max_iter = 200 ) )"
15,0,50,1.0,0.0,1.0,1.0,1.0,93,75.92,2,2.7,6,7.18,8.1,5,0.00013971328735351562,0.11756157875061035,"bag ( LR ( C = 50 , max_iter = 200 ) )"
16,0,50,1.0,0.0,1.0,1.0,1.0,93,75.8,2,2.22,6,6.84,6.76,5,0.00012540817260742188,0.10673284530639648,"bag ( LR ( C = 50 , max_iter = 200 ) )"
17,0,50,1.0,0.0,1.0,1.0,1.0,93,76.08,2,2.28,6,6.72,6.54,5,0.0001232624053955078,0.09450531005859375,"bag ( LR ( C = 50 , max_iter = 200 ) )"
18,0,50,1.0,0.0,1.0,1.0,1.0,93,78.92,2,2.06,6,6.56,6.16,5,0.0001327991485595703,0.08347201347351074,"bag ( LR ( C = 50 , max_iter = 200 ) )"
19,0,50,1.0,0.0,1.0,1.0,1.0,93,79.32,2,1.94,6,6.52,5.82,5,0.00012230873107910156,0.08605575561523438,"bag ( LR ( C = 50 , max_iter = 200 ) )"
20,0,50,1.0,0.0,1.0,1.0,1.0,93,76.32,2,1.74,6,6.46,5.32,5,0.0001895427703857422,0.08657312393188477,"bag ( LR ( C = 50 , max_iter = 200 ) )"
