gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,invalid_count_min,invalid_count_avg,invalid_count_max,invalid_count_std,nodes_length_min,nodes_length_avg,nodes_length_max,nodes_length_std,structural_diversity,selection_time,generation_time
0,16,0.5985234899328858,0.29539257305739375,0.3221476510067114,1.0,0.3279678068410463,59,57.3235294117647,2,1.7058823529411764,6,6.323529411764706,5.264705882352941,6,16,16.0,16,0.0,1,1.7058823529411764,3,0.7189812559071419,0.68,0.0,17.405029296875
1,0,0.38577181208053696,0.14003699473245806,0.3221476510067114,1.0,0.34004024144869216,59,59.06,2,2.0,6,6.42,6.16,6,0,0.0,0,0.0,1,2.0,8,1.0879675865519869,0.68,0.0002880096435546875,46.76243734359741
2,0,0.37597315436241624,0.1321891434309458,0.31543624161073824,1.0,0.36820925553319916,49,55.72,3,1.98,7,6.26,6.04,8,0,0.0,0,0.0,1,1.98,3,0.5529143565818179,0.84,0.00029015541076660156,136.46196150779724
3,0,0.3500671140939597,0.04753952362006011,0.30201342281879195,0.651006711409396,0.352112676056338,41,55.4,2,2.12,6,6.26,6.22,6,0,0.0,0,0.0,1,2.12,4,0.558423436734059,0.76,0.0002846717834472656,49.74745535850525
4,0,0.374765100671141,0.13045957923906373,0.2953020134228188,1.0,0.386317907444668,28,54.6,3,2.18,7,6.26,6.24,8,0,0.0,0,0.0,1,2.18,4,0.5955618167335952,0.76,0.0002923011779785156,36.2383189201355
5,0,0.3755704697986577,0.11038552731781635,0.2953020134228188,1.0,0.3561368209255533,28,56.78,3,2.3,7,6.38,6.5,8,0,0.0,0,0.0,1,2.3,4,0.8144110179279557,0.82,0.000308990478515625,142.37368631362915
6,0,0.35516778523489934,0.039610735980750406,0.2953020134228188,0.5436241610738255,0.3621730382293763,28,52.44,3,2.2,7,6.36,6.28,8,0,0.0,0,0.0,1,2.2,4,0.7559289460184544,0.8,0.00030684471130371094,206.27441954612732
7,0,0.38510067114093965,0.15884299700742827,0.2953020134228188,1.0,0.36418511066398396,28,47.1,3,2.12,7,6.26,6.22,8,0,0.0,0,0.0,1,2.12,3,0.47979587496419046,0.82,0.0002796649932861328,404.96879839897156
8,0,0.33812080536912753,0.02012930588600754,0.2953020134228188,0.3825503355704698,0.3762575452716298,28,42.76,3,2.36,7,6.32,6.62,8,0,0.0,0,0.0,1,2.36,3,0.5252793231671496,0.8,0.00030303001403808594,200.8653748035431
9,0,0.36845637583892615,0.1065339793763825,0.28859060402684567,1.0,0.34004024144869216,59,40.06,2,2.52,7,6.54,7.02,6,0,0.0,0,0.0,2,2.52,3,0.5046720495044484,0.76,0.0002834796905517578,262.69769620895386
10,0,0.3398657718120806,0.02723740978966076,0.2751677852348994,0.4161073825503355,0.3420523138832998,29,39.28,3,2.44,7,6.6,6.8,8,0,0.0,0,0.0,1,2.44,3,0.5405967979549857,0.72,0.00033092498779296875,70.88541316986084
11,0,0.3750335570469798,0.12959549072638238,0.2751677852348994,1.0,0.35010060362173034,29,38.66,3,2.3,7,6.58,6.48,8,0,0.0,0,0.0,1,2.3,4,0.5802884574739972,0.78,0.0003407001495361328,202.66226387023926
12,0,0.34255033557046977,0.027929786423924737,0.2751677852348994,0.44966442953020136,0.36418511066398396,29,42.06,3,2.28,7,6.34,6.34,8,0,0.0,0,0.0,1,2.28,3,0.607436903584837,0.82,0.00030684471130371094,422.37224411964417
13,0,0.3691275167785235,0.1309464599043067,0.2751677852348994,1.0,0.35412474849094566,29,37.12,3,2.54,7,6.54,6.98,8,0,0.0,0,0.0,1,2.54,4,0.6455499158682859,0.76,0.0002999305725097656,91.12460422515869
14,0,0.3793288590604027,0.1299814097645297,0.2751677852348994,1.0,0.34004024144869216,29,42.52,3,2.58,7,6.54,6.9,8,0,0.0,0,0.0,1,2.58,5,0.7583548251421142,0.82,0.0002987384796142578,92.2800521850586
15,0,0.34832214765100666,0.029354265407555754,0.2751677852348994,0.4093959731543624,0.3621730382293763,29,41.48,3,2.7,7,6.64,7.24,8,0,0.0,0,0.0,1,2.7,6,0.9091372900969897,0.78,0.0003020763397216797,24.61718988418579
16,0,0.3453691275167785,0.028353937437481932,0.2751677852348994,0.3959731543624161,0.3621730382293763,29,42.7,3,2.82,7,6.82,7.48,8,0,0.0,0,0.0,1,2.82,4,0.5602477586036451,0.72,0.0002665519714355469,7.831896543502808
17,0,0.35073825503355704,0.06131760477600189,0.2751677852348994,0.6442953020134228,0.36418511066398396,29,45.5,3,2.96,7,6.82,7.78,8,0,0.0,0,0.0,2,2.96,4,0.4932193286180591,0.74,0.00030994415283203125,130.4496350288391
18,0,0.3523489932885906,0.038676589353621234,0.2751677852348994,0.5436241610738255,0.34004024144869216,29,39.72,3,2.98,7,6.74,7.68,8,0,0.0,0,0.0,2,2.98,4,0.4280949732506199,0.7,0.000301361083984375,7.943152189254761
19,0,0.3438926174496644,0.027428570356118644,0.2751677852348994,0.4093959731543624,0.3722334004024145,29,45.54,3,2.86,7,6.74,7.68,8,0,0.0,0,0.0,2,2.86,7,0.8332380897952963,0.68,0.00030112266540527344,1406.7835838794708
20,0,0.37194630872483225,0.1333534585355128,0.2751677852348994,1.0,0.329979879275654,29,46.2,3,2.96,7,6.88,7.94,8,0,0.0,0,0.0,2,2.96,7,0.6986868148935705,0.7,0.0002903938293457031,355.5717282295227
21,0,0.3519463087248322,0.046384725107526,0.2684563758389261,0.6040268456375839,0.3661971830985915,27,50.46,3,2.94,7,6.76,7.68,8,0,0.0,0,0.0,2,2.94,4,0.5115003939990902,0.78,0.0003037452697753906,1686.1166036128998
22,0,0.3664429530201342,0.13465034286129832,0.2684563758389261,1.0,0.3561368209255533,27,44.7,3,2.82,7,6.7,7.48,8,0,0.0,0,0.0,2,2.82,3,0.3880879344916036,0.68,0.0003077983856201172,511.2936427593231
23,0,0.343758389261745,0.03263953736078632,0.2684563758389261,0.42281879194630867,0.35412474849094566,27,35.72,3,2.92,7,6.86,7.74,8,0,0.0,0,0.0,2,2.92,4,0.4444671196029727,0.62,0.00030684471130371094,7.564536809921265
24,0,0.3477852348993288,0.02918313435601038,0.2684563758389261,0.42281879194630867,0.3843058350100603,27,34.32,3,2.9,7,6.88,7.72,8,0,0.0,0,0.0,2,2.9,4,0.4629100498862757,0.48,0.0002770423889160156,4.9642555713653564
25,0,0.3653691275167785,0.11277692270918038,0.2684563758389261,1.0,0.3722334004024145,27,45.72,3,3.0,7,6.96,7.96,8,0,0.0,0,0.0,2,3.0,5,0.6060915267313265,0.68,0.0002875328063964844,130.4226267337799
26,0,0.35436241610738256,0.09616772879515686,0.2684563758389261,1.0,0.3561368209255533,27,46.48,3,2.9,7,6.76,7.62,8,0,0.0,0,0.0,2,2.9,4,0.5439837932759934,0.76,0.00030231475830078125,141.57683491706848
27,0,0.35167785234899335,0.046030679730153685,0.2684563758389261,0.6174496644295302,0.3722334004024145,27,40.0,3,2.78,7,6.62,7.34,8,0,0.0,0,0.0,2,2.78,4,0.46467017049401693,0.82,0.0002982616424560547,11.985397577285767
28,0,0.3573154362416108,0.09531675847743958,0.2684563758389261,1.0,0.3561368209255533,27,46.08,3,2.88,7,6.86,7.72,8,0,0.0,0,0.0,2,2.88,5,0.47979587496419046,0.72,0.0002796649932861328,9.60706901550293
29,0,0.34644295302013417,0.029096572187114308,0.2684563758389261,0.42281879194630867,0.36820925553319916,27,44.62,3,2.92,7,6.8,7.78,8,0,0.0,0,0.0,1,2.92,7,0.7782764841072135,0.76,0.0002758502960205078,17.834580659866333
30,0,0.3476510067114094,0.057780518792029216,0.2684563758389261,0.6174496644295302,0.3420523138832998,27,39.12,3,2.8,7,6.56,7.34,8,0,0.0,0,0.0,2,2.8,4,0.5714285714285714,0.7,0.000278472900390625,35.9523138999939
31,0,0.3779865771812081,0.13650709743161707,0.2684563758389261,1.0,0.3561368209255533,27,57.08,3,2.94,7,6.76,7.68,8,0,0.0,0,0.0,1,2.94,5,0.6824326235712107,0.82,0.0002963542938232422,14.614546060562134
32,0,0.3667114093959731,0.1080746155070826,0.2684563758389261,1.0,0.36418511066398396,27,48.92,3,2.84,7,6.7,7.36,8,0,0.0,0,0.0,1,2.84,4,0.6180945043652553,0.76,0.0003151893615722656,9.231116771697998
33,0,0.36966442953020134,0.11238226476463763,0.2684563758389261,1.0,0.3561368209255533,27,54.24,3,2.8,7,6.56,7.26,8,0,0.0,0,0.0,2,2.8,4,0.4948716593053935,0.8,0.0004017353057861328,38.313817262649536
34,0,0.3508724832214765,0.05106037445570466,0.2684563758389261,0.6577181208053691,0.35412474849094566,27,57.18,3,2.72,7,6.66,7.36,8,0,0.0,0,0.0,1,2.72,4,0.5360475154083919,0.8,0.0002741813659667969,46.27216649055481
35,0,0.33852348993288595,0.02529622706341759,0.2684563758389261,0.3825503355704698,0.358148893360161,27,54.32,3,2.7,7,6.56,7.2,8,0,0.0,0,0.0,2,2.7,3,0.4629100498862757,0.7,0.0003132820129394531,29.065444469451904
36,0,0.3444295302013423,0.05133135822732803,0.2684563758389261,0.6577181208053691,0.3661971830985915,27,46.56,3,2.74,7,6.6,7.3,8,0,0.0,0,0.0,1,2.74,4,0.5646020812962715,0.68,0.0003001689910888672,39.36188244819641
37,0,0.34093959731543627,0.02707951812326446,0.2684563758389261,0.3959731543624161,0.34607645875251514,27,43.88,3,2.9,7,6.6,7.52,8,0,0.0,0,0.0,2,2.9,4,0.41649656391752143,0.62,0.00032401084899902344,226.68417382240295
