run_idx,gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,eval_worker_ids,best_phenotype
1,0,7,23,0.853125,0.3325984738264244,0.046875,1.0,1.0,34,55.30434782608695,3,1.826086956521739,6,6.434782608695652,5.304347826086956,6,0.0,1.4428555965423584,"9,0,0,3,10,7,1,1,8,1,2,2,1,3,1,1,3,4,2,2,3,5,1,4,4,4,6,2,3,5","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,1,0,30,0.9682291666666667,0.17109117356000247,0.046875,1.0,1.0,34,55.5,3,1.9666666666666666,6,6.5,5.5,6,7.224082946777344e-05,0.011533021926879883,"1,6,3,5,4,2,7,0,8,9,10,11,11,6,3,5,4,2,7,8,10,9,0,1,11,11,6,3,4","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,2,0,30,0.9682291666666667,0.17109117356000247,0.046875,1.0,1.0,34,56.03333333333333,3,2.2666666666666666,6,6.366666666666666,5.733333333333333,6,6.604194641113281e-05,0.013389348983764648,"2,7,8,10,9,0,1,5,12,6,3,4,11,7,7,8,10,9,0,1,5,12,6,3,4,11,2,13,7","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,3,0,30,0.9682291666666667,0.17109117356000247,0.046875,1.0,1.0,34,65.26666666666667,3,2.4,6,6.3,5.966666666666667,6,9.202957153320312e-05,0.008601665496826172,"8,10,9,0,1,5,12,6,4,11,2,13,7,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,4,0,30,0.9682291666666667,0.17109117356000247,0.046875,1.0,1.0,34,61.666666666666664,3,2.3666666666666667,6,6.433333333333334,6.3,6,5.6743621826171875e-05,0.0084381103515625,"10,9,0,1,5,12,6,4,11,2,8,13,7,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,5,0,30,0.9682291666666667,0.17109117356000247,0.046875,1.0,1.0,34,68.06666666666666,3,2.4,6,6.433333333333334,6.1,6,8.96453857421875e-05,0.009952545166015625,"10,9,0,1,5,12,6,4,11,2,8,13,7,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
2,0,10,20,1.0,0.0,1.0,1.0,1.0,93,66.0,2,2.1,6,6.35,5.7,5,0.0,0.007317781448364258,"0,0,0,0,3,1,1,0,2,2,0,1,1,1,0,2,4,3,1,1,0,2,4,3,5,1,1,0,2,4","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,1,0,30,1.0,0.0,1.0,1.0,1.0,93,65.73333333333333,2,2.033333333333333,6,6.366666666666666,5.933333333333334,5,6.008148193359375e-05,0.009459733963012695,"3,5,6,1,0,2,4,3,3,5,6,0,1,2,4,7,2,2,4,7,3,8,6,5,0,1,4,4,7","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,2,0,30,1.0,0.0,1.0,1.0,1.0,93,72.86666666666666,2,2.2666666666666666,6,6.166666666666667,5.866666666666666,5,6.175041198730469e-05,0.011747598648071289,"3,8,6,0,5,1,9,2,7,4,5,5,1,9,2,7,4,10,3,6,8,0,5,5,1,9,2,4,7","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,3,0,30,1.0,0.0,1.0,1.0,1.0,93,74.13333333333334,2,2.1,6,6.266666666666667,5.7,5,7.104873657226562e-05,0.011299610137939453,"10,3,6,8,0,11,5,1,9,2,7,4,0,0,11,5,1,9,2,4,7,12,10,3,6,8,0,0,11","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,4,0,30,1.0,0.0,1.0,1.0,1.0,93,71.33333333333333,2,2.1333333333333333,6,6.366666666666666,5.833333333333333,5,6.175041198730469e-05,0.01053929328918457,"5,1,9,2,4,7,12,10,3,6,8,13,0,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,5,0,30,1.0,0.0,1.0,1.0,1.0,93,76.5,2,2.3666666666666667,6,6.466666666666667,6.266666666666667,5,0.00011897087097167969,0.009667634963989258,"5,1,2,9,4,7,3,8,13,12,10,6,11,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
