gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,3,7,0.7342592592592592,0.25630091250392173,0.2407407407407407,1.0,0.23333333333333328,33,54.714285714285715,1,1.4285714285714286,7,6.714285714285714,5.0,5,0.0,0.23005032539367676,vote ( GB ( n_estimators = 10 ) )
1,0,10,0.2703703703703703,0.06139105353426215,0.2222222222222222,0.43518518518518523,0.14583333333333337,35,33.0,1,1.2,7,7.1,5.2,5,6.365776062011719e-05,2.589804172515869,vote ( GB ( n_estimators = 200 ) )
2,0,10,0.33796296296296297,0.1717461560340809,0.2222222222222222,0.75,0.14583333333333337,35,34.6,1,1.1,7,7.0,5.1,5,5.078315734863281e-05,6.394625663757324,vote ( GB ( n_estimators = 200 ) )
3,0,10,0.30648148148148147,0.15633896644145867,0.2222222222222222,0.7314814814814814,0.14583333333333337,35,34.6,1,1.2,7,7.0,5.2,5,0.00011324882507324219,7.5834431648254395,vote ( GB ( n_estimators = 200 ) )
4,0,10,0.28240740740740744,0.10640093571996936,0.18518518518518523,0.5648148148148149,0.14583333333333337,34,34.9,2,1.5,7,7.2,6.0,7,4.935264587402344e-05,3.25453519821167,vote ( XGB ( max_depth = 2 ) ; voting = soft )
5,0,10,0.18703703703703703,0.036051708025799614,0.13888888888888884,0.25,0.14166666666666672,31,34.0,2,2.1,8,7.1,7.3,9,6.127357482910156e-05,2.615919828414917,"stack ( XGB ( max_depth = 50 ) , DT ( max_depth = 3 ) )"
6,0,10,0.1648148148148148,0.02677191165703883,0.13888888888888884,0.20370370370370372,0.14166666666666672,31,30.7,2,2.3,8,7.9,9.2,9,7.200241088867188e-05,5.8411054611206055,"stack ( XGB ( max_depth = 50 ) , DT ( max_depth = 3 ) )"
7,0,10,0.16759259259259257,0.055315840856458715,0.13888888888888884,0.2870370370370371,0.14166666666666672,31,31.2,2,2.0,8,7.4,7.6,9,5.4836273193359375e-05,4.99900484085083,"stack ( XGB ( max_depth = 50 ) , DT ( max_depth = 3 ) )"
8,0,10,0.18703703703703703,0.04074074074074076,0.13888888888888884,0.2777777777777778,0.14166666666666672,31,31.9,2,3.1,8,8.4,11.4,9,8.082389831542969e-05,66.85175514221191,"stack ( XGB ( max_depth = 50 ) , DT ( max_depth = 3 ) )"
9,0,10,0.1861111111111111,0.06592306485676878,0.13888888888888884,0.33333333333333337,0.14166666666666672,31,40.3,2,2.3,8,7.5,8.5,9,5.698204040527344e-05,4.762688875198364,"stack ( XGB ( max_depth = 50 ) , DT ( max_depth = 3 ) )"
10,0,10,0.19444444444444442,0.1396890530788601,0.13888888888888884,0.6111111111111112,0.14166666666666672,31,39.9,2,2.2,8,7.4,8.2,9,4.9114227294921875e-05,5.610077381134033,"stack ( XGB ( max_depth = 50 ) , DT ( max_depth = 3 ) )"
