cmd,created_at,fit_points_id,fitness,hit_count,points_id,source
bag ( KNN ( n_neighbors = 50 ) ; voting = soft ),2026-02-16T14:21:44,"(127912421856560, 127912421855504)","(0.4330357142857143,)",3,"(127912421854544, 127912421854832)",gui
"bag ( SVM ( C = 100 , kernel = poly ) )",2026-02-16T14:21:45,"(127912421856560, 127912421855504)","(0.3973214285714286,)",0,"(127912421854544, 127912421854832)",gui
stack ( RF ( max_depth = 50 ) ),2026-02-16T14:21:46,"(127912421856560, 127912421855504)","(0.3839285714285714,)",2,"(127912421854544, 127912421854832)",gui
ada ( XGB ( max_depth = 50 ) ),2026-02-16T14:21:46,"(127912421856560, 127912421855504)","(0.40625,)",2,"(127912421854544, 127912421854832)",gui
vote ( NB ( var_smoothing = 1e-7 ) ),2026-02-16T14:21:46,"(127912421856560, 127912421855504)","(0.3705357142857143,)",23,"(127912421854544, 127912421854832)",gui
"stack ( XGB ( n_estimators = 5 , max_depth = 50 ) )",2026-02-16T14:21:46,"(127912421856560, 127912421855504)","(0.4017857142857143,)",0,"(127912421854544, 127912421854832)",gui
vote ( RF ( max_depth = 10 ) ),2026-02-16T14:21:46,"(127912421856560, 127912421855504)","(0.375,)",7,"(127912421854544, 127912421854832)",gui
bag ( XGB ( n_estimators = 5 ) ),2026-02-16T14:21:46,"(127912421856560, 127912421855504)","(0.3526785714285714,)",12,"(127912421854544, 127912421854832)",gui
ada ( GB ( n_estimators = 50 ) ; n_estimators = 10 ),2026-02-16T14:21:47,"(127912421856560, 127912421855504)","(0.3973214285714286,)",0,"(127912421854544, 127912421854832)",gui
bag ( KNN ( n_neighbors = 10 ) ; n_estimators = 1 ),2026-02-16T14:21:47,"(127912421856560, 127912421855504)","(0.40625,)",0,"(127912421854544, 127912421854832)",gui
"bag ( XGB ( n_estimators = 1 , max_depth = 3 ) ; final_estimator = GB )",2026-02-16T14:21:47,"(127912421856560, 127912421855504)","(0.3482142857142857,)",0,"(127912421854544, 127912421854832)",gui
ada ( RF ( max_depth = 2 ) ; n_estimators = 2 ),2026-02-16T14:21:47,"(127912421856560, 127912421855504)","(0.3482142857142857,)",2,"(127912421854544, 127912421854832)",gui
bag ( NB ( var_smoothing = 1e-9 ) ),2026-02-16T14:21:47,"(127912421856560, 127912421855504)","(0.3705357142857143,)",84,"(127912421854544, 127912421854832)",gui
stack ( KNN ( n_neighbors = 200 ) ; n_estimators = 3 ),2026-02-16T14:21:47,"(127912421856560, 127912421855504)","(0.375,)",0,"(127912421854544, 127912421854832)",gui
ada ( XGB ( max_depth = 3 ) ),2026-02-16T14:21:48,"(127912421856560, 127912421855504)","(0.40625,)",1,"(127912421854544, 127912421854832)",gui
ada ( XGB ( n_estimators = 1 ) ),2026-02-16T14:21:49,"(127912421856560, 127912421855504)","(0.40625,)",3,"(127912421854544, 127912421854832)",gui
"stack ( DT ( max_depth = 50 , criterion = entropy ) ; final_estimator = XGB )",2026-02-16T14:21:49,"(127912421856560, 127912421855504)","(0.4955357142857143,)",0,"(127912421854544, 127912421854832)",gui
"stack ( LR ( C = 100 , max_iter = 5 ) , LR ( penalty = elasticnet ) )",2026-02-16T14:21:49,"(127912421856560, 127912421855504)","(0.4107142857142857,)",0,"(127912421854544, 127912421854832)",gui
stack ( KNN ( n_neighbors = 1 ) ; final_estimator = DT ),2026-02-16T14:21:49,"(127912421856560, 127912421855504)","(0.4330357142857143,)",0,"(127912421854544, 127912421854832)",gui
stack ( KNN ( n_neighbors = 10 ) ),2026-02-16T14:21:49,"(127912421856560, 127912421855504)","(0.3839285714285714,)",5,"(127912421854544, 127912421854832)",gui
"ada ( GB ( n_estimators = 2 , learning_rate = 0.5 ) ; n_estimators = 3 )",2026-02-16T14:21:49,"(127912421856560, 127912421855504)","(0.3616071428571429,)",0,"(127912421854544, 127912421854832)",gui
stack ( SVM ( C = 100 ) ),2026-02-16T14:21:49,"(127912421856560, 127912421855504)","(0.40625,)",3,"(127912421854544, 127912421854832)",gui
bag ( NB ( var_smoothing = 1e-8 ) ; final_estimator = DT ),2026-02-16T14:21:49,"(127912421856560, 127912421855504)","(0.3794642857142857,)",0,"(127912421854544, 127912421854832)",gui
