gen,train_min_mean,train_min_std,train_avg_mean,train_avg_std,train_max_mean,train_max_std,test_mean,test_std,invalid_mean
0,0.34077380952380953,0.002104484467817098,0.5937946428571429,0.026274309483991138,1.0,0.0,0.3422619047619048,0.002104484467817098,27.333333333333332
1,0.3333333333333333,0.004208968935634196,0.4016964285714286,0.0008239802499944823,1.0,0.0,0.3333333333333333,0.004208968935634196,0.0
2,0.3333333333333333,0.004208968935634196,0.39422619047619056,0.006935449815548455,1.0,0.0,0.3333333333333333,0.004208968935634196,0.0
3,0.3303571428571429,0.0,0.3967113095238095,0.0066823595593208,0.8645833333333334,0.1915080865713566,0.3303571428571429,0.0,0.6666666666666666
4,0.3303571428571429,0.0,0.39346726190476194,0.009959949382151032,0.8705357142857143,0.18309014870008822,0.3303571428571429,0.0,1.0
5,0.3303571428571429,0.0,0.38438988095238097,0.006937173773253648,0.7529761904761906,0.17562045823728487,0.3303571428571429,0.0,0.3333333333333333
6,0.3273809523809524,0.004208968935634249,0.38308035714285715,0.009552389223694295,0.8333333333333334,0.23570226039551584,0.3273809523809524,0.004208968935634249,0.0
7,0.3244047619047619,0.008417937871268445,0.3797172619047619,0.0074915213318177305,0.7336309523809524,0.18843070220945254,0.3244047619047619,0.008417937871268445,0.3333333333333333
8,0.3244047619047619,0.008417937871268445,0.3819494047619048,0.008057207807137154,0.8735119047619048,0.17888117976445397,0.3244047619047619,0.008417937871268445,0.0
9,0.3244047619047619,0.008417937871268445,0.38382440476190477,0.013274793765559591,1.0,0.0,0.3244047619047619,0.008417937871268445,0.0
10,0.3229166666666667,0.00758782665713213,0.3752232142857143,0.005537514108334158,0.6488095238095238,0.249290376087761,0.3229166666666667,0.00758782665713213,0.0
11,0.3229166666666667,0.00758782665713213,0.3786160714285714,0.004520332702146564,0.7425595238095237,0.18277541498862215,0.3229166666666667,0.00758782665713213,0.0
12,0.3229166666666667,0.00758782665713213,0.39194940476190476,0.00736145538385445,1.0,0.0,0.3229166666666667,0.00758782665713213,0.0
13,0.3229166666666667,0.00758782665713213,0.37385416666666677,0.0076269490278828836,0.7261904761904762,0.19446848531329017,0.3229166666666667,0.00758782665713213,0.0
14,0.3229166666666667,0.00758782665713213,0.3782589285714286,0.0068297249162739175,0.625,0.0291605921759902,0.3229166666666667,0.00758782665713213,0.0
15,0.3229166666666667,0.00758782665713213,0.38001488095238095,0.005624330711001234,0.7738095238095237,0.15994081955410003,0.3229166666666667,0.00758782665713213,0.0
16,0.3229166666666667,0.00758782665713213,0.38236607142857143,0.0019787750239070637,0.7574404761904762,0.17268317774260308,0.3229166666666667,0.00758782665713213,0.0
17,0.3229166666666667,0.00758782665713213,0.3776785714285715,0.010581958136857472,0.8854166666666666,0.16204530402191714,0.3229166666666667,0.00758782665713213,0.0
18,0.3229166666666667,0.00758782665713213,0.37480654761904764,0.0064324282962850265,0.8764880952380952,0.17467221082881979,0.3229166666666667,0.00758782665713213,0.0
19,0.32142857142857145,0.007290148043997574,0.3779166666666667,0.005863963858789465,0.8779761904761904,0.17256772636100268,0.32142857142857145,0.007290148043997574,0.0
20,0.32142857142857145,0.007290148043997574,0.3744791666666667,0.0026677194191093104,0.7559523809523809,0.17394808566907685,0.32142857142857145,0.007290148043997574,0.0
21,0.32142857142857145,0.007290148043997574,0.3815625,0.007180240714466832,0.8779761904761904,0.17256772636100268,0.32142857142857145,0.007290148043997574,0.0
22,0.32142857142857145,0.007290148043997574,0.3815178571428572,0.008170090086639771,0.8794642857142857,0.17046324189318554,0.32142857142857145,0.007290148043997574,0.0
23,0.32142857142857145,0.007290148043997574,0.37901785714285713,0.0020166847626668866,1.0,0.0,0.32142857142857145,0.007290148043997574,0.0
24,0.32142857142857145,0.007290148043997574,0.372514880952381,0.0064752494064154635,0.7574404761904763,0.1722980389587326,0.32142857142857145,0.007290148043997574,0.0
25,0.32142857142857145,0.007290148043997574,0.3720833333333333,0.003094093194849257,0.7008928571428572,0.22312498213571072,0.32142857142857145,0.007290148043997574,0.0
26,0.32142857142857145,0.007290148043997574,0.37069940476190477,0.00262959523820303,0.7514880952380952,0.17783827671342042,0.32142857142857145,0.007290148043997574,0.0
27,0.32142857142857145,0.007290148043997574,0.3824107142857143,0.01281278517187207,0.8854166666666666,0.16204530402191714,0.32142857142857145,0.007290148043997574,0.0
28,0.32142857142857145,0.007290148043997574,0.37540178571428573,0.002506634479050458,0.7083333333333334,0.22128131304096554,0.32142857142857145,0.007290148043997574,0.0
29,0.32142857142857145,0.007290148043997574,0.3819345238095238,0.010445305020300798,0.8839285714285715,0.16414978848973422,0.32142857142857145,0.007290148043997574,0.3333333333333333
30,0.32142857142857145,0.007290148043997574,0.38991071428571433,0.017217255473925674,0.8839285714285715,0.16414978848973422,0.32142857142857145,0.007290148043997574,0.3333333333333333
31,0.32142857142857145,0.007290148043997574,0.3741666666666666,0.002654738548904325,0.5967261904761905,0.07238325301794826,0.32142857142857145,0.007290148043997574,0.0
32,0.32142857142857145,0.007290148043997574,0.38674107142857145,0.013832707730095997,0.8705357142857143,0.18309014870008822,0.32142857142857145,0.007290148043997574,0.6666666666666666
33,0.32142857142857145,0.007290148043997574,0.3769345238095238,0.004252464854795433,0.7514880952380952,0.17783827671342042,0.32142857142857145,0.007290148043997574,0.0
34,0.32142857142857145,0.007290148043997574,0.37873511904761914,0.00812960470425176,0.7053571428571428,0.22457916047516047,0.32142857142857145,0.007290148043997574,0.3333333333333333
35,0.32142857142857145,0.007290148043997574,0.37279761904761904,0.0070794557213572475,0.7232142857142857,0.20529243286881588,0.32142857142857145,0.007290148043997574,0.0
36,0.32142857142857145,0.007290148043997574,0.3796279761904762,0.006471041644149583,0.8869047619047619,0.15994081955410003,0.32142857142857145,0.007290148043997574,0.6666666666666666
37,0.32142857142857145,0.007290148043997574,0.3782440476190477,0.004439265202547495,0.8869047619047619,0.15994081955410003,0.32142857142857145,0.007290148043997574,0.0
38,0.32142857142857145,0.007290148043997574,0.37563988095238104,0.004949432501425618,0.7514880952380952,0.17783827671342042,0.32142857142857145,0.007290148043997574,0.0
39,0.32142857142857145,0.007290148043997574,0.3796875,0.003703115357417326,0.8705357142857143,0.18309014870008822,0.32142857142857145,0.007290148043997574,0.0
40,0.32142857142857145,0.007290148043997574,0.3775595238095238,0.0042110203080900546,0.7574404761904762,0.17268317774260308,0.32142857142857145,0.007290148043997574,0.0
41,0.32142857142857145,0.007290148043997574,0.3697470238095238,0.008509068583434788,0.7455357142857143,0.18038513455578176,0.32142857142857145,0.007290148043997574,0.0
42,0.32142857142857145,0.007290148043997574,0.3777232142857143,0.005446184615925983,0.8913690476190476,0.15362736615064873,0.32142857142857145,0.007290148043997574,0.0
43,0.32142857142857145,0.007290148043997574,0.37671130952380955,0.006256834415188968,0.8839285714285715,0.16414978848973422,0.32142857142857145,0.007290148043997574,0.0
