gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,2,8,0.46944444444444444,0.2865901539197241,0.2222222222222222,1.0,0.20416666666666672,94,54.25,2,1.75,6,6.5,5.125,5,0.0,1.022451400756836,bag ( KNN ( n_neighbors = 2 ) ; n_estimators = 200 )
1,0,10,0.31666666666666665,0.1673238073789114,0.20370370370370372,0.6574074074074074,0.21666666666666667,94,94.4,2,1.8,6,6.0,4.8,5,5.507469177246094e-05,5.982581615447998,bag ( KNN ( n_neighbors = 2 ) ; n_estimators = 200 )
2,0,10,0.325,0.13175831576143804,0.20370370370370372,0.5648148148148149,0.22499999999999998,94,94.2,2,1.9,6,6.2,5.2,5,5.221366882324219e-05,2.7961411476135254,bag ( KNN ( n_neighbors = 2 ) ; n_estimators = 200 )
3,0,10,0.30648148148148147,0.142571547268503,0.20370370370370372,0.6944444444444444,0.21250000000000002,94,94.4,2,2.2,6,6.3,6.1,5,6.651878356933594e-05,2.4765608310699463,bag ( KNN ( n_neighbors = 2 ) ; n_estimators = 200 )
4,0,10,0.3453703703703704,0.250207389973311,0.19444444444444442,1.0,0.16666666666666663,94,93.8,2,2.1,6,6.0,5.6,6,5.316734313964844e-05,4.090731859207153,bag ( RF ( n_estimators = 100 ) ; voting = soft )
5,0,10,0.287962962962963,0.1608261635110547,0.19444444444444442,0.7314814814814814,0.17083333333333328,94,94.0,2,2.1,6,6.2,6.3,6,6.031990051269531e-05,9.62460732460022,bag ( RF ( n_estimators = 100 ) ; voting = soft )
6,0,10,0.23055555555555554,0.06035588328789727,0.19444444444444442,0.37962962962962965,0.16666666666666663,94,94.2,2,2.1,6,6.0,6.1,6,5.555152893066406e-05,5.739919900894165,bag ( RF ( n_estimators = 100 ) ; voting = soft )
7,0,10,0.2064814814814815,0.018998411600632575,0.18518518518518523,0.25,0.17500000000000004,103,95.2,2,2.2,6,6.0,6.2,6,5.269050598144531e-05,6.963670969009399,bag ( RF ( n_estimators = 100 ) ; voting = soft )
8,0,10,0.21388888888888888,0.045445893302992674,0.17592592592592593,0.34259259259259256,0.1791666666666667,97,99.4,2,2.3,6,6.3,6.9,6,5.8650970458984375e-05,7.793399810791016,bag ( RF ( n_estimators = 100 ) ; voting = soft )
9,0,10,0.23888888888888893,0.1253800805911908,0.17592592592592593,0.6111111111111112,0.16666666666666663,97,96.6,2,2.0,6,6.0,6.0,6,6.127357482910156e-05,90.76227569580078,bag ( RF ( n_estimators = 100 ) ; voting = soft )
10,0,10,0.24444444444444446,0.1201707746882046,0.17592592592592593,0.6018518518518519,0.1791666666666667,97,94.0,2,2.1,6,6.0,6.1,6,8.249282836914062e-05,6.281826496124268,bag ( RF ( n_estimators = 100 ) ; voting = soft )
