gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,5,5,0.6712962962962963,0.29134314802991,0.2685185185185185,1.0,0.35416666666666663,90,76.2,1,2.2,7,6.4,6.0,4,0.0,2.004000425338745,stack ( KNN ( n_neighbors = 50 ) )
1,0,10,0.25000000000000006,0.07063789304726166,0.18518518518518523,0.42592592592592593,0.24583333333333335,91,90.0,1,1.2,7,6.9,4.5,4,5.3882598876953125e-05,0.38425683975219727,stack ( KNN ( n_neighbors = 10 ) )
2,0,10,0.2962962962962963,0.15822229157995427,0.16666666666666663,0.6203703703703703,0.1875,92,90.9,1,1.4,7,7.2,5.5,5,8.368492126464844e-05,719.6120138168335,stack ( GB ( learning_rate = 0.5 ) )
3,0,10,0.16851851851851846,0.01888525745775107,0.12037037037037035,0.19444444444444442,0.18333333333333335,94,92.0,1,1.4,7,7.3,6.1,5,5.1021575927734375e-05,728.5937347412109,stack ( XGB ( n_estimators = 100 ) )
4,0,10,0.25555555555555554,0.21293075440818668,0.12037037037037035,0.7314814814814814,0.18333333333333335,94,93.0,1,1.2,7,6.9,5.2,5,7.367134094238281e-05,18.89215588569641,stack ( XGB ( n_estimators = 100 ) )
5,0,10,0.17777777777777776,0.13034195818346503,0.12037037037037035,0.5648148148148149,0.18333333333333335,94,93.9,1,1.4,7,7.4,6.1,5,5.364418029785156e-05,10.884536266326904,stack ( XGB ( n_estimators = 100 ) )
6,0,10,0.15740740740740738,0.04846760121593481,0.12037037037037035,0.2685185185185185,0.18333333333333335,94,94.0,1,1.0,7,7.0,4.8,5,5.7220458984375e-05,6.371320009231567,stack ( XGB ( n_estimators = 100 ) )
7,0,10,0.2824074074074074,0.27084718229865723,0.12037037037037035,1.0,0.18333333333333335,94,95.2,1,1.0,7,6.9,4.7,5,7.05718994140625e-05,5.805119276046753,stack ( XGB ( n_estimators = 100 ) )
8,0,10,0.1657407407407407,0.13305333254154714,0.12037037037037035,0.5648148148148149,0.18333333333333335,94,95.6,1,1.1,7,7.0,5.1,5,5.53131103515625e-05,9.071866989135742,stack ( XGB ( n_estimators = 100 ) )
9,0,10,0.17870370370370367,0.13160205738861505,0.12037037037037035,0.5648148148148149,0.18333333333333335,94,95.2,1,1.0,7,7.0,4.9,5,6.151199340820312e-05,9.615684270858765,stack ( XGB ( n_estimators = 100 ) )
10,0,10,0.14166666666666666,0.046490334113456266,0.12037037037037035,0.2685185185185185,0.18333333333333335,94,94.5,1,1.0,7,7.0,4.8,5,6.556510925292969e-05,7.515697717666626,stack ( XGB ( n_estimators = 100 ) )
