model_string,cache_key,hit_count,accuracy,mae,training_time_sec
"bag ( NB ( var_smoothing = 1e-6 ) ; n_estimators = 1 , max_features = 0.1 )","bag ( NB ( var_smoothing = 1e-6 ) ; n_estimators = 1 , max_features = 0.1 )",163,0.5054545454545455,0.4945454545454545,0.005471440999826882
"bag ( NB ( var_smoothing = 1e-6 ) ; n_estimators = 2 , max_features = 0.1 )","bag ( NB ( var_smoothing = 1e-6 ) ; n_estimators = 2 , max_features = 0.1 )",1571,0.5563636363636364,0.4436363636363636,0.00606008800014024
"bag ( SVM ( kernel = poly ) ; n_estimators = 1 , max_features = 0.1 )","bag ( SVM ( kernel = poly ) ; n_estimators = 1 , max_features = 0.1 )",4,0.5454545454545454,0.4545454545454546,2.277038285999879
"bag ( NB ( var_smoothing = 1e-7 ) ; n_estimators = 1 , max_features = 0.1 )","bag ( NB ( var_smoothing = 1e-7 ) ; n_estimators = 1 , max_features = 0.1 )",2,0.5018181818181818,0.49818181818181817,0.0037207699997452437
"bag ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 2 , max_features = 0.1 )","bag ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 2 , max_features = 0.1 )",36,0.5127272727272727,0.4872727272727273,0.0065298520003125304
"bag ( NB ( var_smoothing = 1e-9 ) ; n_estimators = 2 , max_features = 0.1 )","bag ( NB ( var_smoothing = 1e-9 ) ; n_estimators = 2 , max_features = 0.1 )",25,0.5054545454545455,0.4945454545454545,0.00811874999999418
"bag ( DT ( max_depth = 2 , criterion = log_loss ) ; n_estimators = 1 , max_features = 0.1 )","bag ( DT ( max_depth = 2 , criterion = log_loss ) ; n_estimators = 1 , max_features = 0.1 )",0,0.5054545454545455,0.4945454545454545,0.003978228000050876
"bag ( DT ( max_depth = 1 , criterion = log_loss ) ; n_estimators = 2 , max_features = 0.1 )","bag ( DT ( max_depth = 1 , criterion = log_loss ) ; n_estimators = 2 , max_features = 0.1 )",7,0.5054545454545455,0.4945454545454545,0.006775457000003371
"bag ( LR ( C = 50 , max_iter = 50 ) ; n_estimators = 2 , max_features = 0.1 )","bag ( LR ( C = 50 , max_iter = 50 ) ; n_estimators = 2 , max_features = 0.1 )",1,0.5054545454545455,0.4945454545454545,0.06205573199986247
"bag ( GB ( n_estimators = 1 , learning_rate = 0.5 ) ; n_estimators = 2 , max_features = 0.1 )","bag ( GB ( n_estimators = 1 , learning_rate = 0.5 ) ; n_estimators = 2 , max_features = 0.1 )",0,0.509090909090909,0.49090909090909096,0.020600690000264876
"bag ( DT ( max_depth = 50 ) ; n_estimators = 2 , max_features = 0.1 )","bag ( DT ( max_depth = 50 ) ; n_estimators = 2 , max_features = 0.1 )",8,0.5163636363636364,0.48363636363636364,0.006783297999845672
"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 2 , max_features = 0.1 )","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 2 , max_features = 0.1 )",2,0.5054545454545455,0.4945454545454545,0.005555587000344531
"bag ( SVM ( C = 50 , kernel = sigmoid ) ; n_estimators = 2 , max_features = 0.1 )","bag ( SVM ( C = 50 , kernel = sigmoid ) ; n_estimators = 2 , max_features = 0.1 )",0,0.5163636363636364,0.48363636363636364,0.21796754200022406
"bag ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 1 , max_features = 0.1 )","bag ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 1 , max_features = 0.1 )",0,0.5418181818181819,0.45818181818181813,0.003895760999967024
"bag ( LR ( C = 1.0 ) ; n_estimators = 2 , max_features = 0.1 )","bag ( LR ( C = 1.0 ) ; n_estimators = 2 , max_features = 0.1 )",7,0.5309090909090909,0.4690909090909091,0.07783761300015613
"bag ( NB ( var_smoothing = 1e-6 ) ; n_estimators = 3 , max_features = 0.1 )","bag ( NB ( var_smoothing = 1e-6 ) ; n_estimators = 3 , max_features = 0.1 )",6,0.5163636363636364,0.48363636363636364,0.00900615899990953
"bag ( GB ( learning_rate = 1.0 ) ; n_estimators = 2 , max_features = 0.1 )","bag ( GB ( learning_rate = 1.0 ) ; n_estimators = 2 , max_features = 0.1 )",0,0.5236363636363637,0.4763636363636363,1.1153279359996304
"bag ( DT ( criterion = log_loss ) ; n_estimators = 2 , max_features = 0.1 )","bag ( DT ( criterion = log_loss ) ; n_estimators = 2 , max_features = 0.1 )",3,0.5454545454545454,0.4545454545454546,0.005629887999930361
"bag ( NB ( var_smoothing = 1e-7 ) ; n_estimators = 2 , max_features = 0.1 )","bag ( NB ( var_smoothing = 1e-7 ) ; n_estimators = 2 , max_features = 0.1 )",10,0.52,0.48,0.0062559670000155165
"bag ( DT ( max_depth = 3 , criterion = log_loss ) ; n_estimators = 2 , max_features = 0.1 )","bag ( DT ( max_depth = 3 , criterion = log_loss ) ; n_estimators = 2 , max_features = 0.1 )",2,0.5490909090909091,0.4509090909090909,0.005691039999874192
"bag ( SVM ( kernel = poly ) ; n_estimators = 2 , max_features = 0.1 )","bag ( SVM ( kernel = poly ) ; n_estimators = 2 , max_features = 0.1 )",0,0.5054545454545455,0.4945454545454545,80.85475956999971
