gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,4,16,0.5445544554455445,0.23228322057212167,0.3564356435643564,1.0,0.3705357142857143,23,52.3125,2,1.5625,6,6.3125,4.9375,6,0.0,3.8501346111297607,ada ( RF ( max_depth = 2 ) ; n_estimators = 2 )
1,0,20,0.4455445544554456,0.13704916018216456,0.3564356435643564,1.0,0.3660714285714286,23,42.35,2,1.7,6,6.15,4.8,6,7.414817810058594e-05,3.461683750152588,ada ( RF ( max_depth = 2 ) ; n_estimators = 2 )
2,0,20,0.4138613861386139,0.056235531965001695,0.3564356435643564,0.5841584158415842,0.3705357142857143,23,37.05,2,1.9,6,6.25,5.4,6,0.0004572868347167969,4.306025743484497,ada ( RF ( max_depth = 2 ) ; n_estimators = 2 )
3,0,20,0.4034653465346535,0.05873173523616175,0.3465346534653465,0.5841584158415842,0.3794642857142857,26,29.75,2,1.75,6,6.05,5.25,6,8.320808410644531e-05,7.1653947830200195,ada ( RF ( max_depth = 2 ) ; n_estimators = 3 )
4,0,20,0.4024752475247525,0.0761330773457291,0.306930693069307,0.594059405940594,0.4285714285714286,24,24.6,3,2.15,6,6.1,6.25,7,0.00010943412780761719,2.274648666381836,"ada ( RF ( n_estimators = 2 , max_depth = 2 ) ; n_estimators = 2 )"
5,0,20,0.4490099009900989,0.13862358523177618,0.306930693069307,1.0,0.3883928571428571,24,24.2,3,2.7,6,6.55,7.6,7,8.058547973632812e-05,8.115637063980103,"ada ( RF ( n_estimators = 2 , max_depth = 2 ) ; n_estimators = 2 )"
6,0,20,0.43712871287128713,0.14328326869776806,0.306930693069307,1.0,0.40625,24,23.95,3,2.6,6,6.1,6.55,7,8.368492126464844e-05,1.8853645324707031,"ada ( RF ( n_estimators = 2 , max_depth = 2 ) ; n_estimators = 2 )"
7,0,20,0.45891089108910893,0.1372019677801625,0.306930693069307,1.0,0.40625,24,24.75,3,2.65,6,6.2,6.9,7,8.20159912109375e-05,6.515490293502808,"ada ( RF ( n_estimators = 2 , max_depth = 2 ) ; n_estimators = 2 )"
8,0,20,0.4435643564356435,0.13813921564043688,0.306930693069307,1.0,0.4107142857142857,24,24.45,3,2.9,6,6.4,7.5,7,7.557868957519531e-05,10.477555274963379,"ada ( RF ( n_estimators = 2 , max_depth = 2 ) ; n_estimators = 2 )"
9,0,20,0.43712871287128713,0.1398906893266954,0.306930693069307,1.0,0.4196428571428571,24,26.3,3,2.9,6,6.4,7.65,7,8.893013000488281e-05,4.012250661849976,"ada ( RF ( n_estimators = 2 , max_depth = 2 ) ; n_estimators = 2 )"
10,0,20,0.3945544554455446,0.05060897650701832,0.306930693069307,0.5247524752475248,0.4151785714285714,24,26.25,3,2.55,6,6.0,6.55,7,7.486343383789062e-05,2.6439735889434814,"ada ( RF ( n_estimators = 2 , max_depth = 2 ) ; n_estimators = 2 )"
11,0,20,0.45,0.14315321805268416,0.306930693069307,1.0,0.4419642857142857,24,26.3,3,2.55,6,6.0,6.5,7,0.00011849403381347656,2.4593942165374756,"ada ( RF ( n_estimators = 2 , max_depth = 2 ) ; n_estimators = 2 )"
12,0,20,0.4282178217821782,0.0680130280397727,0.306930693069307,0.5841584158415842,0.4151785714285714,24,25.65,3,2.75,6,6.35,7.1,7,7.224082946777344e-05,9.269323348999023,"ada ( RF ( n_estimators = 2 , max_depth = 2 ) ; n_estimators = 2 )"
