gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,13,37,1.0,0.0,1.0,1.0,1.0,34,55.432432432432435,3,1.864864864864865,6,6.513513513513513,5.351351351351352,6,0.0,0.1722421646118164,"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,0,50,1.0,0.0,1.0,1.0,1.0,34,53.38,3,1.96,6,6.62,5.68,6,0.0016047954559326172,0.19500279426574707,"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
2,1,49,1.0,0.0,1.0,1.0,1.0,34,49.97959183673469,3,2.3877551020408165,6,6.918367346938775,6.836734693877551,6,0.0007238388061523438,0.19767498970031738,"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
3,0,50,1.0,0.0,1.0,1.0,1.0,34,51.04,3,2.12,6,6.72,6.2,6,0.0008130073547363281,0.18988680839538574,"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
4,0,50,1.0,0.0,1.0,1.0,1.0,34,51.64,3,2.44,6,6.9,7.04,6,0.0007030963897705078,0.21305012702941895,"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
5,0,50,1.0,0.0,1.0,1.0,1.0,34,54.56,3,2.36,6,6.82,6.68,6,0.0034198760986328125,0.21667695045471191,"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
6,0,50,1.0,0.0,1.0,1.0,1.0,34,56.84,3,2.58,6,6.88,7.18,6,0.0007219314575195312,0.1855008602142334,"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
7,0,50,1.0,0.0,1.0,1.0,1.0,34,61.02,3,3.44,6,7.2,8.98,6,0.0007660388946533203,0.20206904411315918,"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
8,0,50,1.0,0.0,1.0,1.0,1.0,34,60.52,3,3.42,6,7.22,9.12,6,0.0007169246673583984,0.19543862342834473,"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
9,0,50,1.0,0.0,1.0,1.0,1.0,34,65.4,3,3.2,6,7.0,8.4,6,0.0007207393646240234,0.20538926124572754,"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
10,0,50,1.0,0.0,1.0,1.0,1.0,34,63.58,3,3.08,6,6.9,8.26,6,0.0007109642028808594,0.36526918411254883,"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
