run_idx,gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,eval_worker_ids,best_phenotype
1,0,7,23,1.0,0.0,1.0,1.0,1.0,34,55.30434782608695,3,1.826086956521739,6,6.434782608695652,5.304347826086956,6,0.0,0.011934995651245117,"0,0,0,0,1,0,0,1,2,0,0,2,1,3,0,0,3,1,2,4,0,0,1,3,2,4,5,0,0,1","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,1,0,30,1.0,0.0,1.0,1.0,1.0,34,54.233333333333334,3,2.066666666666667,6,6.533333333333333,5.833333333333333,6,9.822845458984375e-05,0.019179582595825195,"2,5,3,4,6,0,1,2,2,7,5,3,4,6,0,1,2,2,5,7,3,4,6,0,1,8,2,2,5","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,2,0,30,1.0,0.0,1.0,1.0,1.0,34,53.06666666666667,3,2.066666666666667,6,6.6,5.9,6,9.775161743164062e-05,0.0178525447845459,"7,3,4,6,0,8,1,9,2,5,7,7,3,4,6,0,8,9,2,1,5,10,4,4,3,6,0,8,9","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,3,0,30,1.0,0.0,1.0,1.0,1.0,34,53.43333333333333,3,2.3666666666666667,6,6.733333333333333,6.466666666666667,6,7.796287536621094e-05,0.01648235321044922,"2,1,5,10,11,7,0,8,9,4,3,6,11,11,0,7,9,6,3,8,4,12,2,5,1,10,10,11,0","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,4,0,30,1.0,0.0,1.0,1.0,1.0,34,52.46666666666667,3,2.1666666666666665,6,6.566666666666666,5.9,6,6.699562072753906e-05,0.012220144271850586,"7,9,6,3,8,12,4,2,5,13,1,10,0,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,5,0,30,1.0,0.0,1.0,1.0,1.0,34,57.93333333333333,3,2.433333333333333,6,6.6,6.333333333333333,6,7.605552673339844e-05,0.01303243637084961,"7,9,6,3,12,8,5,2,4,13,0,1,10,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
2,0,10,20,1.0,0.0,1.0,1.0,1.0,93,66.0,2,2.1,6,6.35,5.7,5,0.0,0.007641315460205078,"0,0,0,0,2,1,1,2,0,1,1,2,0,3,1,1,2,0,3,4,1,1,2,0,3,4,5,1,1,2","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,1,0,30,1.0,0.0,1.0,1.0,1.0,93,65.73333333333333,2,2.033333333333333,6,6.366666666666666,5.933333333333334,5,6.198883056640625e-05,0.010355710983276367,"0,3,4,5,6,1,2,0,0,4,3,5,6,1,2,7,3,3,5,6,1,2,7,8,0,4,3,3,5","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,2,0,30,1.0,0.0,1.0,1.0,1.0,93,72.86666666666666,2,2.2666666666666666,6,6.166666666666667,5.866666666666666,5,6.961822509765625e-05,0.012097597122192383,"6,1,2,7,8,0,4,9,3,5,6,6,1,2,7,8,0,4,9,3,5,10,2,2,7,8,0,4,9","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,3,0,30,1.0,0.0,1.0,1.0,1.0,93,74.13333333333334,2,2.1,6,6.266666666666667,5.7,5,6.628036499023438e-05,0.011668682098388672,"3,5,10,6,11,1,2,7,8,0,4,9,3,3,5,10,6,11,1,2,7,8,0,4,9,12,10,10,6","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,4,0,30,1.0,0.0,1.0,1.0,1.0,93,71.33333333333333,2,2.1333333333333333,6,6.366666666666666,5.833333333333333,5,6.29425048828125e-05,0.011023521423339844,"11,1,2,7,8,0,4,9,12,13,3,5,10,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,5,0,30,1.0,0.0,1.0,1.0,1.0,93,76.5,2,2.3666666666666667,6,6.466666666666667,6.266666666666667,5,9.274482727050781e-05,0.012743949890136719,"11,2,1,7,0,4,8,6,9,13,12,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
