run_idx,gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,eval_worker_ids,best_phenotype
1,0,7,23,1.0,0.0,1.0,1.0,1.0,34,55.30434782608695,3,1.826086956521739,6,6.434782608695652,5.304347826086956,6,0.0,0.008308649063110352,"0,0,1,1,0,1,1,0,2,1,1,0,2,3,1,1,0,2,3,4,1,1,0,2,3,4,5,1,1,2","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,1,0,30,1.0,0.0,1.0,1.0,1.0,34,54.233333333333334,3,2.066666666666667,6,6.533333333333333,5.833333333333333,6,9.226799011230469e-05,0.012723207473754883,"3,4,5,6,0,1,2,3,3,4,5,6,0,1,2,7,5,5,6,0,1,2,7,3,8,4,5,5,6","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,2,0,30,1.0,0.0,1.0,1.0,1.0,34,53.06666666666667,3,2.066666666666667,6,6.6,5.9,6,9.608268737792969e-05,0.011700630187988281,"0,1,2,7,3,8,4,9,5,6,0,0,1,2,7,3,8,4,9,5,6,10,2,2,7,3,8,4,9","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,3,0,30,1.0,0.0,1.0,1.0,1.0,34,53.43333333333333,3,2.3666666666666667,6,6.733333333333333,6.466666666666667,6,9.655952453613281e-05,0.012310981750488281,"5,6,10,11,0,1,2,7,3,8,4,9,6,6,10,11,0,1,2,7,3,8,4,9,12,5,6,6,10","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,4,0,30,1.0,0.0,1.0,1.0,1.0,34,52.46666666666667,3,2.1666666666666665,6,6.566666666666666,5.9,6,9.369850158691406e-05,0.009827613830566406,"11,0,1,2,7,3,8,4,9,12,5,13,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
1,5,0,30,1.0,0.0,1.0,1.0,1.0,34,57.93333333333333,3,2.433333333333333,6,6.6,6.333333333333333,6,0.00010037422180175781,0.010716676712036133,"0,1,2,7,3,8,4,9,11,12,13,5,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )"
2,0,10,20,1.0,0.0,1.0,1.0,1.0,93,66.0,2,2.1,6,6.35,5.7,5,0.0,0.009553670883178711,"0,0,0,0,1,1,1,3,0,2,2,3,0,1,1,3,0,4,2,1,1,3,0,4,2,5,1,1,3,0","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,1,0,30,1.0,0.0,1.0,1.0,1.0,93,65.73333333333333,2,2.033333333333333,6,6.366666666666666,5.933333333333334,5,6.103515625e-05,0.010939836502075195,"4,2,5,6,1,3,0,4,4,2,5,6,1,3,0,7,0,0,7,8,4,2,5,6,1,3,0,0,7","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,2,0,30,1.0,0.0,1.0,1.0,1.0,93,72.86666666666666,2,2.2666666666666666,6,6.166666666666667,5.866666666666666,5,9.822845458984375e-05,0.01315164566040039,"8,2,5,6,1,3,9,4,0,7,8,8,2,5,6,1,3,9,4,0,7,10,9,9,4,0,7,10,11","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,3,0,30,1.0,0.0,1.0,1.0,1.0,93,74.13333333333334,2,2.1,6,6.266666666666667,5.7,5,6.67572021484375e-05,0.014218330383300781,"8,2,5,6,1,3,9,4,7,10,11,0,1,1,3,9,4,7,10,11,0,12,8,2,5,6,7,7,10","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,4,0,30,1.0,0.0,1.0,1.0,1.0,93,71.33333333333333,2,2.1333333333333333,6,6.366666666666666,5.833333333333333,5,0.00010657310485839844,0.013036251068115234,"0,11,12,8,2,5,6,13,1,3,9,4,10,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,5,0,30,1.0,0.0,1.0,1.0,1.0,93,76.5,2,2.3666666666666667,6,6.466666666666667,6.266666666666667,5,9.679794311523438e-05,0.01322031021118164,"5,12,3,9,0,1,11,4,2,6,8,7,13,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5","bag ( LR ( C = 0.1 , max_iter = 2 ) )"
