gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,invalid_count_min,invalid_count_avg,invalid_count_max,invalid_count_std,nodes_length_min,nodes_length_avg,nodes_length_max,nodes_length_std,structural_diversity,selection_time,generation_time
0,15,0.6421476510067113,0.29435920269273125,0.3489932885906041,1.0,0.35010060362173034,33,58.42857142857143,1,1.8857142857142857,6,6.3428571428571425,5.371428571428571,4,15,15.0,15,0.0,1,1.8857142857142857,3,0.6311254453205737,0.68,0.0,5.769525051116943
1,0,0.4085906040268456,0.12697617657140628,0.3355704697986577,1.0,0.3440643863179075,55,52.88,2,1.9,6,6.46,5.52,5,0,0.0,0,0.0,1,1.9,4,0.762648446573665,0.84,0.0002956390380859375,9.430649757385254
2,0,0.3785234899328859,0.045518993175337356,0.3221476510067114,0.5167785234899329,0.3380281690140845,55,46.92,2,1.96,6,6.4,5.6,5,0,0.0,0,0.0,1,1.96,3,0.7548482750641661,0.7,0.00027370452880859375,75.95091676712036
3,0,0.36966442953020134,0.03466207428474244,0.3221476510067114,0.5302013422818792,0.34004024144869216,55,44.44,2,1.86,6,6.22,5.06,5,0,0.0,0,0.0,1,1.86,3,0.49528388066742046,0.68,0.00025153160095214844,87.17815327644348
4,0,0.36885906040268457,0.09364241721409225,0.3221476510067114,1.0,0.34004024144869216,55,44.26,2,1.9,6,6.18,5.08,5,0,0.0,0,0.0,1,1.9,3,0.3642156795423418,0.52,0.0003268718719482422,7.235195636749268
5,0,0.3477852348993289,0.019804458256193605,0.3221476510067114,0.4093959731543624,0.3440643863179075,55,42.98,2,1.9,6,6.0,4.84,5,0,0.0,0,0.0,1,1.9,2,0.30304576336566325,0.32,0.00029468536376953125,9.910231828689575
6,0,0.35489932885906034,0.02868340486269656,0.31543624161073824,0.4563758389261745,0.33601609657947684,37,46.5,2,1.94,6,6.0,4.96,5,0,0.0,0,0.0,1,1.94,3,0.3730732816343027,0.54,0.00029778480529785156,69.60287547111511
7,0,0.35208053691275154,0.024538807146408763,0.31543624161073824,0.40268456375838924,0.34607645875251514,37,46.32,2,1.9,6,6.02,4.86,5,0,0.0,0,0.0,1,1.9,2,0.30304576336566325,0.38,0.0003230571746826172,4.448275566101074
8,0,0.3540939597315436,0.023692701061715997,0.31543624161073824,0.4093959731543624,0.3420523138832998,37,44.08,2,1.8,6,6.02,4.68,5,0,0.0,0,0.0,1,1.8,2,0.40406101782088427,0.4,0.000274658203125,10.998862743377686
9,0,0.35677852348993283,0.025160535868692584,0.31543624161073824,0.4161073825503355,0.34607645875251514,37,42.84,2,1.86,6,6.0,4.82,5,0,0.0,0,0.0,1,1.86,2,0.3505098327538656,0.46,0.0002510547637939453,16.074453115463257
