gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,13,37,1.0,0.0,1.0,1.0,1.0,34,55.432432432432435,2,1.7297297297297298,6,6.513513513513513,5.297297297297297,5,0.0,0.07400703430175781,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
1,0,50,1.0,0.0,1.0,1.0,1.0,34,53.38,2,1.86,6,6.64,5.82,5,0.00014066696166992188,0.09505367279052734,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
2,0,50,1.0,0.0,1.0,1.0,1.0,34,53.56,2,1.96,6,6.82,6.42,5,0.00013327598571777344,0.10303688049316406,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
3,0,50,1.0,0.0,1.0,1.0,1.0,34,59.26,2,2.38,6,7.08,7.68,5,0.00012564659118652344,0.08831024169921875,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
4,0,50,1.0,0.0,1.0,1.0,1.0,34,58.38,2,2.38,6,6.92,7.32,5,0.0001938343048095703,0.09288597106933594,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
5,0,50,1.0,0.0,1.0,1.0,1.0,34,56.38,2,2.14,6,6.72,6.64,5,0.00012183189392089844,0.08522963523864746,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
6,0,50,1.0,0.0,1.0,1.0,1.0,34,49.44,2,2.68,6,7.2,8.2,5,0.0001385211944580078,0.10065889358520508,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
7,0,50,1.0,0.0,1.0,1.0,1.0,34,50.06,2,2.78,6,7.36,8.62,5,0.0001316070556640625,0.11043977737426758,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
8,0,50,1.0,0.0,1.0,1.0,1.0,34,47.78,2,2.72,6,7.4,8.62,5,0.00012636184692382812,0.09807515144348145,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
9,0,50,1.0,0.0,1.0,1.0,1.0,34,47.66,2,2.74,6,7.32,8.5,5,0.00012683868408203125,0.09745407104492188,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
10,0,50,1.0,0.0,1.0,1.0,1.0,34,52.06,2,2.54,6,7.32,8.16,5,0.00012445449829101562,0.09445714950561523,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
11,0,50,1.0,0.0,1.0,1.0,1.0,34,53.58,2,2.24,6,7.02,7.04,5,0.00012826919555664062,0.09039688110351562,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
12,0,50,1.0,0.0,1.0,1.0,1.0,34,60.08,2,2.44,6,7.16,7.7,5,0.000141143798828125,0.08668875694274902,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
13,1,49,1.0,0.0,1.0,1.0,1.0,34,62.63265306122449,2,2.63265306122449,6,7.244897959183674,8.224489795918368,5,0.00012159347534179688,0.08345150947570801,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
14,0,50,1.0,0.0,1.0,1.0,1.0,34,60.34,2,2.54,6,7.0,7.54,5,0.0001239776611328125,0.08066034317016602,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
15,0,50,1.0,0.0,1.0,1.0,1.0,34,63.66,2,2.44,6,7.12,7.5,5,0.00012493133544921875,0.08303546905517578,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
16,0,50,1.0,0.0,1.0,1.0,1.0,34,63.94,2,2.34,6,6.92,7.2,5,0.0001239776611328125,0.07697510719299316,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
17,0,50,1.0,0.0,1.0,1.0,1.0,34,62.78,2,2.46,6,6.8,7.18,5,0.00012636184692382812,0.0795297622680664,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
18,0,50,1.0,0.0,1.0,1.0,1.0,34,56.38,2,2.52,6,6.82,7.26,5,0.0001227855682373047,0.08280801773071289,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
19,0,50,1.0,0.0,1.0,1.0,1.0,34,55.98,2,2.2,6,6.54,6.24,5,0.0001266002655029297,0.07753849029541016,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
20,0,50,1.0,0.0,1.0,1.0,1.0,34,54.52,2,2.38,6,6.78,7.02,5,0.00013208389282226562,0.0811915397644043,bag ( KNN ( n_neighbors = 50 ) ; voting = soft )
