gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,15,35,0.4908910891089108,0.36648158759168403,0.09900990099009899,1.0,0.0803571428571429,33,58.42857142857143,1,1.8857142857142857,6,6.3428571428571425,5.371428571428571,4,0.0,17.65667724609375,bag ( SVM ( C = 50 ) )
1,0,50,0.19029702970297036,0.14121033527456156,0.07920792079207917,1.0,0.0803571428571429,74,59.0,1,2.06,7,6.78,6.3,5,0.00015473365783691406,6.120782375335693,vote ( SVM ( C = 10 ) )
2,0,50,0.16435643564356436,0.09642161444704833,0.07920792079207917,0.6039603960396039,0.0803571428571429,74,62.82,1,1.44,7,6.64,5.24,5,0.00014925003051757812,4.377242803573608,vote ( SVM ( C = 10 ) )
3,0,50,0.16178217821782176,0.14691694846444137,0.05940594059405946,1.0,0.0848214285714286,73,60.0,1,1.34,6,6.78,5.22,4,0.00017714500427246094,2.062251567840576,bag ( SVM ( C = 100 ) )
4,0,50,0.19346534653465347,0.18685568641162198,0.05940594059405946,1.0,0.0669642857142857,73,61.1,1,1.4,6,6.92,5.52,4,0.0001823902130126953,1.3451790809631348,bag ( SVM ( C = 100 ) )
5,0,50,0.17386138613861385,0.1461348573398968,0.05940594059405946,1.0,0.09375,73,61.76,1,1.62,6,7.12,6.2,4,0.0001513957977294922,1.9335482120513916,bag ( SVM ( C = 100 ) )
6,0,50,0.19801980198019803,0.18460501580829866,0.05940594059405946,1.0,0.0625,73,61.42,1,1.58,6,6.96,6.04,4,0.0001666545867919922,5.510224342346191,bag ( SVM ( C = 100 ) )
7,0,50,0.15900990099009898,0.09347730247410603,0.05940594059405946,0.4158415841584159,0.0803571428571429,73,68.56,1,1.42,6,6.94,5.48,4,0.0001652240753173828,0.9794495105743408,bag ( SVM ( C = 100 ) )
8,0,50,0.17089108910891088,0.18705074597668483,0.05940594059405946,1.0,0.0669642857142857,73,66.92,1,1.92,6,7.4,7.2,4,0.00015664100646972656,1.915015459060669,bag ( SVM ( C = 100 ) )
9,0,50,0.1483168316831683,0.08796827724910987,0.05940594059405946,0.4158415841584159,0.0982142857142857,73,63.7,1,1.68,6,7.12,6.34,4,0.000164031982421875,3.1548750400543213,bag ( SVM ( C = 100 ) )
10,0,50,0.17801980198019798,0.1473550755234489,0.05940594059405946,1.0,0.0758928571428571,73,68.46,1,2.18,6,7.36,7.72,4,0.0001690387725830078,7.986978054046631,bag ( SVM ( C = 100 ) )
11,0,50,0.14118811881188117,0.1412036707027803,0.05940594059405946,1.0,0.0669642857142857,73,69.4,1,1.56,6,6.82,5.84,4,0.00018262863159179688,2.641108989715576,bag ( SVM ( C = 100 ) )
12,0,50,0.14950495049504947,0.14168105802719544,0.05940594059405946,1.0,0.0758928571428571,73,71.44,1,1.48,6,6.82,5.72,4,0.0004887580871582031,2.3061742782592773,bag ( SVM ( C = 100 ) )
13,0,50,0.17168316831683167,0.08874756217044469,0.05940594059405946,0.3564356435643564,0.0714285714285714,73,73.72,1,2.42,6,7.34,7.96,4,0.00015974044799804688,5.70419454574585,bag ( SVM ( C = 100 ) )
14,0,50,0.159009900990099,0.1646116353455257,0.05940594059405946,1.0,0.0803571428571429,73,74.9,1,1.44,6,6.74,5.36,4,0.0001575946807861328,6.301666736602783,bag ( SVM ( C = 100 ) )
15,0,50,0.13405940594059404,0.07861685407177478,0.05940594059405946,0.4158415841584159,0.0758928571428571,73,76.04,1,2.38,6,7.34,7.9,4,0.000164031982421875,2.5911495685577393,bag ( SVM ( C = 100 ) )
16,0,50,0.13425742574257424,0.09693185609998166,0.05940594059405946,0.594059405940594,0.0669642857142857,73,76.04,1,1.96,6,7.14,7.06,4,0.0001621246337890625,5.4921979904174805,bag ( SVM ( C = 100 ) )
17,0,50,0.16514851485148516,0.16514709024244872,0.05940594059405946,1.0,0.0803571428571429,73,76.26,1,2.28,6,7.32,7.86,4,0.0001575946807861328,6.900270700454712,bag ( SVM ( C = 100 ) )
18,0,50,0.16118811881188116,0.1465886975532821,0.05940594059405946,1.0,0.0803571428571429,73,75.9,1,2.1,6,7.12,7.2,4,0.0001628398895263672,3.541127920150757,bag ( SVM ( C = 100 ) )
19,0,50,0.11722772277227721,0.07135200568191394,0.05940594059405946,0.3564356435643564,0.0982142857142857,73,76.86,1,2.5,6,7.34,8.4,4,0.00017189979553222656,10.268083810806274,bag ( SVM ( C = 100 ) )
20,0,50,0.15247524752475244,0.14090051665124925,0.05940594059405946,1.0,0.0803571428571429,73,77.72,1,2.62,6,7.26,8.52,4,0.00023436546325683594,14.403253078460693,bag ( SVM ( C = 100 ) )
