cmd,created_at,fit_points_id,fitness,hit_count,points_id,source
bag ( KNN ( n_neighbors = 50 ) ; voting = soft ),2026-02-16T13:31:48,"(125258060897744, 125258060895728)","(0.4330357142857143,)",0,"(125258060896496, 125258060896016)",gui
"bag ( SVM ( C = 100 , kernel = poly ) )",2026-02-16T13:31:49,"(125258060897744, 125258060895728)","(0.3973214285714286,)",0,"(125258060896496, 125258060896016)",gui
stack ( RF ( max_depth = 50 ) ),2026-02-16T13:31:49,"(125258060897744, 125258060895728)","(0.3839285714285714,)",6,"(125258060896496, 125258060896016)",gui
stack ( XGB ( max_depth = 50 ) ),2026-02-16T13:31:50,"(125258060897744, 125258060895728)","(0.4330357142857143,)",0,"(125258060896496, 125258060896016)",gui
"stack ( NB ( var_smoothing = 1e-8 ) , SVM ( C = 1.0 ) , NB ( var_smoothing = 1e-9 ) , KNN ( n_neighbors = 2 ) , LR ( penalty = l2 ) )",2026-02-16T13:31:50,"(125258060897744, 125258060895728)","(0.3973214285714286,)",0,"(125258060896496, 125258060896016)",gui
"stack ( LR ( C = 10 , max_iter = 50 ) )",2026-02-16T13:31:50,"(125258060897744, 125258060895728)","(0.4107142857142857,)",0,"(125258060896496, 125258060896016)",gui
"bag ( LR ( C = 50 , max_iter = 200 ) )",2026-02-16T13:31:50,"(125258060674992, 125258060676144)","(0.3883928571428571,)",1,"(125258060674800, 125258060675472)",gui
stack ( KNN ( n_neighbors = 50 ) ),2026-02-16T13:31:50,"(125258060674992, 125258060676144)","(0.4241071428571429,)",0,"(125258060674800, 125258060675472)",gui
"bag ( LR ( C = 0.1 , max_iter = 2 ) )",2026-02-16T13:31:50,"(125258060674992, 125258060676144)","(0.3705357142857143,)",2,"(125258060674800, 125258060675472)",gui
bag ( LR ( penalty = elasticnet ) ),2026-02-16T13:31:51,"(125258060674992, 125258060676144)","(0.3839285714285714,)",0,"(125258060674800, 125258060675472)",gui
vote ( NB ( var_smoothing = 1e-8 ) ; final_estimator = XGB ),2026-02-16T13:31:51,"(125258060674992, 125258060676144)","(0.3883928571428571,)",0,"(125258060674800, 125258060675472)",gui
"bag ( LR ( C = 0.1 , max_iter = 1 ) )",2026-02-16T13:31:51,"(125258060674992, 125258060676144)","(0.4017857142857143,)",0,"(125258060674800, 125258060675472)",gui
bag ( DT ( criterion = log_loss ) ),2026-02-16T13:31:51,"(125258060674992, 125258060676144)","(0.3973214285714286,)",0,"(125258060674800, 125258060675472)",gui
vote ( LR ( C = 50 ) ; final_estimator = XGB ),2026-02-16T13:31:51,"(125258060674992, 125258060676144)","(0.375,)",0,"(125258060674800, 125258060675472)",gui
