gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,13,37,0.37584158415841595,0.3431687167560358,0.07920792079207917,1.0,0.0714285714285714,42,55.432432432432435,1,1.7297297297297298,7,6.513513513513513,5.297297297297297,5,0.0,6.077036142349243,stack ( SVM ( C = 100 ) )
1,0,50,0.14950495049504953,0.13429261491585875,0.07920792079207917,1.0,0.0714285714285714,42,59.84,1,1.88,7,7.18,6.54,5,0.00017881393432617188,14.251668453216553,stack ( SVM ( C = 100 ) )
2,0,50,0.1465346534653465,0.13983899882925815,0.06930693069306926,1.0,0.1026785714285714,44,60.88,5,1.76,10,7.3,6.5,18,0.0002677440643310547,11.984859704971313,"stack ( KNN ( n_neighbors = 5 ) , DT ( max_depth = 10 , min_samples_split = 0.1 ) , DT ( max_depth = 100 ) , XGB ( max_depth = 10 ) )"
3,0,50,0.12019801980198018,0.06447088072399293,0.06930693069306926,0.3267326732673267,0.1026785714285714,44,56.5,5,2.72,10,8.0,9.34,18,0.00015211105346679688,7.192402362823486,"stack ( KNN ( n_neighbors = 5 ) , DT ( max_depth = 10 , min_samples_split = 0.1 ) , DT ( max_depth = 100 ) , XGB ( max_depth = 10 ) )"
4,0,50,0.14752475247524752,0.14755132992039857,0.05940594059405946,1.0,0.0625,51,51.36,5,3.22,10,8.28,10.92,18,0.00016617774963378906,21.90263795852661,"stack ( SVM ( C = 1.0 ) , RF ( n_estimators = 10 ) , LR ( C = 10 , max_iter = 3 ) , GB ( learning_rate = 1.0 ) )"
5,0,50,0.12356435643564354,0.13606194060503374,0.05940594059405946,1.0,0.0625,51,54.96,5,3.38,10,8.68,12.06,18,0.0001671314239501953,26.034303665161133,"stack ( SVM ( C = 1.0 ) , RF ( n_estimators = 10 ) , LR ( C = 10 , max_iter = 3 ) , GB ( learning_rate = 1.0 ) )"
6,0,50,0.12534653465346535,0.0939835024640926,0.05940594059405946,0.504950495049505,0.0625,51,49.6,5,3.54,10,8.7,12.38,18,0.0002014636993408203,27.930306434631348,"stack ( SVM ( C = 1.0 ) , RF ( n_estimators = 10 ) , LR ( C = 10 , max_iter = 3 ) , GB ( learning_rate = 1.0 ) )"
7,1,49,0.11584158415841583,0.13465710536722456,0.05940594059405946,1.0,0.0625,51,52.10204081632653,5,3.36734693877551,10,8.775510204081632,12.081632653061224,18,0.00017404556274414062,19.22986650466919,"stack ( SVM ( C = 1.0 ) , RF ( n_estimators = 10 ) , LR ( C = 10 , max_iter = 3 ) , GB ( learning_rate = 1.0 ) )"
8,0,50,0.1295049504950495,0.140703346173254,0.04950495049504955,1.0,0.0669642857142857,52,51.68,5,3.52,10,8.76,12.26,17,0.00016570091247558594,15.328097581863403,"stack ( SVM ( C = 1.0 ) , SVM ( kernel = rbf ) , KNN ( n_neighbors = 2 ) , LR ( C = 0.5 , max_iter = 2 ) )"
9,0,50,0.11485148514851484,0.13390883217977595,0.04950495049504955,1.0,0.0669642857142857,52,54.1,5,3.96,10,9.18,13.84,17,0.00015664100646972656,19.4694185256958,"stack ( SVM ( C = 1.0 ) , SVM ( kernel = rbf ) , KNN ( n_neighbors = 2 ) , LR ( C = 0.5 , max_iter = 2 ) )"
