run_idx,gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,eval_worker_ids,best_phenotype
1,0,13,37,0.35700000000000004,0.41085398866263917,0.0,1.0,0.0,51,55.432432432432435,1,1.864864864864865,7,6.513513513513513,5.351351351351352,5,0.0,1.884673833847046,"12,0,0,13,3,4,1,1,10,2,2,9,3,4,11,7,8,6,5,5,6,5,0,7,6,6,8,8,0,3,3,0,0,6,7,6,8,7,7,0,7,3,4,6,6,6,6,4,9,5",stack ( RF ( max_depth = 5 ) )
1,1,0,50,0.126,0.2687452325158532,0.0,1.0,0.0,51,48.94,1,1.94,7,6.7,6.0,5,0.00011205673217773438,9.73668098449707,"5,9,8,6,4,10,1,11,3,7,0,12,13,2,3,2,10,7,12,1,13,6,10,7,3,3,0,0,9,8,11,10,11,0,0,4,4,4,4,4,2,2,4,4,13,4,7,4,6",stack ( RF ( max_depth = 5 ) )
1,2,0,50,0.04,0.14422205101855956,0.0,1.0,0.0,51,47.02,1,1.68,7,6.36,5.26,5,0.00020623207092285156,2.3693952560424805,"4,6,0,5,11,8,7,13,1,12,3,2,9,10,2,0,5,0,11,10,13,11,12,13,13,5,0,10,11,10,13,11,10,0,9,0,0,12,12,2,2,12,10,4,4,10,10,10,9",stack ( RF ( max_depth = 5 ) )
1,3,0,50,0.037000000000000005,0.14415616532080755,0.0,1.0,0.0,51,46.06,1,1.7,7,6.24,5.28,5,9.894371032714844e-05,7.098381042480469,"9,7,4,10,1,12,3,8,11,2,5,6,0,13,12,7,6,0,5,1,4,7,8,9,6,1,7,5,7,7,13,6,0,7,7,12,12,6,11,11,11,11,11,4,4,4,4,12,12",stack ( RF ( max_depth = 5 ) )
1,4,0,50,0.051000000000000004,0.14124092891226678,0.0,0.9,0.0,51,45.86,1,1.48,7,6.2,4.84,5,0.00014710426330566406,8.012389183044434,"6,7,11,10,12,0,2,4,13,9,3,8,1,5,9,4,11,2,12,6,9,4,3,4,10,4,10,4,4,3,3,8,2,2,9,9,10,2,2,10,10,10,10,10,10,10,8,10,10",stack ( RF ( max_depth = 5 ) )
1,5,0,50,0.03700000000000001,0.14276203977248292,0.0,1.0,0.0,51,47.48,1,1.56,7,6.3,5.2,5,0.00014519691467285156,5.767110109329224,"10,2,8,9,12,0,1,7,4,11,5,13,6,3,7,5,11,10,9,6,8,13,11,11,11,11,11,9,2,2,3,3,4,4,4,13,13,4,13,13,13,4,4,12,12,12,12,12,3",stack ( RF ( max_depth = 5 ) )
1,6,0,50,0.04300000000000001,0.10863240768757727,0.0,0.6,0.0,51,45.62,1,1.56,7,6.34,5.12,5,0.00015544891357421875,5.21798300743103,"2,3,7,10,9,8,4,11,1,5,13,12,0,6,2,6,0,3,0,8,1,7,4,8,6,0,0,1,0,6,1,1,0,1,3,7,8,0,0,1,1,2,1,1,2,1,6,6,1",stack ( RF ( max_depth = 5 ) )
1,7,0,50,0.087,0.19360010330575755,0.0,1.0,0.0,51,49.56,1,1.5,7,6.34,4.88,5,0.00014781951904296875,7.749520301818848,"1,6,11,8,13,0,4,9,7,5,10,2,3,12,4,3,8,5,9,6,4,13,9,6,5,13,6,9,1,13,10,1,10,13,13,1,3,13,3,11,3,3,8,3,8,12,7,11,11",stack ( RF ( max_depth = 5 ) )
1,8,0,50,0.05000000000000001,0.1705872210923198,0.0,1.0,0.0,51,51.22,1,1.48,7,6.28,4.94,5,0.00014257431030273438,2.4026222229003906,"11,13,10,6,7,12,0,4,2,3,8,5,9,1,7,3,7,6,0,13,4,6,0,7,13,6,4,7,1,6,1,7,6,1,7,1,6,1,6,7,1,7,1,5,7,1,6,1,1",stack ( RF ( max_depth = 5 ) )
1,9,0,50,0.031,0.1438367129769031,0.0,1.0,0.0,51,51.66,1,1.24,7,6.12,4.44,5,0.00016951560974121094,1.940969467163086,"7,12,6,8,4,0,5,1,3,9,11,2,10,13,1,4,9,7,5,6,3,12,10,13,0,11,6,11,13,9,5,7,3,11,6,7,5,9,9,13,6,11,9,6,6,9,13,13,6",stack ( RF ( max_depth = 5 ) )
