run_idx,gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
1,0,13,37,0.3134375,0.38272524515799844,0.03125,1.0,0.04895104895104896,85,55.432432432432435,2,1.864864864864865,7,6.513513513513513,5.351351351351352,6,0.0,4.311132431030273,stack ( KNN ( n_neighbors = 3 ) ; cv = 5 )
1,1,0,50,0.1053125,0.19384599436472758,0.015625,1.0,0.04195804195804198,38,49.38,1,1.72,6,6.86,5.68,3,0.000118255615234375,4.2991509437561035,bag ( KNN ( n_neighbors = 5 ) )
1,2,0,50,0.0596875,0.13566567650386002,0.015625,1.0,0.04195804195804198,38,42.3,1,1.62,6,6.98,5.78,3,9.775161743164062e-05,2.0988352298736572,bag ( KNN ( n_neighbors = 5 ) )
1,3,0,50,0.0640625,0.13715332717892775,0.015625,1.0,0.04195804195804198,38,40.84,1,1.5,6,6.64,5.08,3,0.0001544952392578125,1.822474479675293,bag ( KNN ( n_neighbors = 5 ) )
1,4,0,50,0.065,0.1420882208348039,0.015625,1.0,0.034965034965035,38,41.02,1,1.44,6,6.54,4.62,3,0.00015974044799804688,3.9879071712493896,bag ( KNN ( n_neighbors = 5 ) )
1,5,0,50,0.054375,0.1381815495100558,0.015625,1.0,0.04195804195804198,38,40.48,1,1.5,6,6.5,4.7,3,0.00015616416931152344,2.770397663116455,bag ( KNN ( n_neighbors = 5 ) )
1,6,0,50,0.04875,0.13766467411794503,0.015625,1.0,0.04895104895104896,38,40.34,1,1.34,6,6.38,4.16,3,0.00010061264038085938,1.0176010131835938,bag ( KNN ( n_neighbors = 5 ) )
1,7,0,50,0.03125,0.02633171804117612,0.015625,0.125,0.034965034965035,38,40.58,1,1.34,6,6.4,4.14,3,9.703636169433594e-05,2.3962128162384033,bag ( KNN ( n_neighbors = 5 ) )
1,8,0,50,0.03125,0.02519455546343297,0.015625,0.125,0.04195804195804198,38,40.52,1,1.26,6,6.4,3.96,3,0.00010156631469726562,0.5930218696594238,bag ( KNN ( n_neighbors = 5 ) )
1,9,0,50,0.0434375,0.033408281626716455,0.015625,0.125,0.04195804195804198,38,38.8,1,1.56,6,6.8,5.04,3,0.0001049041748046875,4.354501724243164,bag ( KNN ( n_neighbors = 5 ) )
