gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,15,35,1.0,0.0,1.0,1.0,1.0,29,58.42857142857143,2,2.0285714285714285,6,6.3428571428571425,5.457142857142857,5,0.0,0.14759087562561035,bag ( KNN ( n_neighbors = 5 ) ; max_features = 0.5 )
1,0,50,1.0,0.0,1.0,1.0,1.0,29,55.32,2,1.98,6,6.44,5.54,5,0.0009520053863525391,0.209151029586792,bag ( KNN ( n_neighbors = 5 ) ; max_features = 0.5 )
2,0,50,1.0,0.0,1.0,1.0,1.0,29,51.06,2,2.04,6,6.6,5.86,5,0.0008668899536132812,0.21174383163452148,bag ( KNN ( n_neighbors = 5 ) ; max_features = 0.5 )
3,0,50,1.0,0.0,1.0,1.0,1.0,29,56.12,2,2.34,6,6.72,6.54,5,0.0008471012115478516,0.17941594123840332,bag ( KNN ( n_neighbors = 5 ) ; max_features = 0.5 )
4,0,50,1.0,0.0,1.0,1.0,1.0,29,57.88,2,2.66,6,7.1,7.72,5,0.0007600784301757812,0.19345593452453613,bag ( KNN ( n_neighbors = 5 ) ; max_features = 0.5 )
5,1,49,1.0,0.0,1.0,1.0,1.0,29,57.38775510204081,2,2.7551020408163267,6,7.142857142857143,7.938775510204081,5,0.0007700920104980469,0.20363116264343262,bag ( KNN ( n_neighbors = 5 ) ; max_features = 0.5 )
6,0,50,1.0,0.0,1.0,1.0,1.0,29,56.98,2,2.78,6,6.9,7.76,5,0.0009319782257080078,0.2003498077392578,bag ( KNN ( n_neighbors = 5 ) ; max_features = 0.5 )
7,0,50,1.0,0.0,1.0,1.0,1.0,29,57.22,2,3.42,6,7.52,9.86,5,0.0008358955383300781,0.22020792961120605,bag ( KNN ( n_neighbors = 5 ) ; max_features = 0.5 )
8,2,48,1.0,0.0,1.0,1.0,1.0,29,59.645833333333336,2,2.6458333333333335,6,6.6875,7.291666666666667,5,0.0007159709930419922,0.1980268955230713,bag ( KNN ( n_neighbors = 5 ) ; max_features = 0.5 )
9,1,49,1.0,0.0,1.0,1.0,1.0,29,51.95918367346939,2,2.3469387755102042,6,6.551020408163265,6.448979591836735,5,0.0007431507110595703,0.21141815185546875,bag ( KNN ( n_neighbors = 5 ) ; max_features = 0.5 )
10,0,50,1.0,0.0,1.0,1.0,1.0,29,43.42,2,2.62,6,6.86,7.44,5,0.0018548965454101562,0.214857816696167,bag ( KNN ( n_neighbors = 5 ) ; max_features = 0.5 )
