gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,invalid_count_min,invalid_count_avg,invalid_count_max,invalid_count_std,nodes_length_min,nodes_length_avg,nodes_length_max,nodes_length_std,structural_diversity,selection_time,generation_time
0,11,0.6030872483221477,0.298403511450757,0.3355704697986577,1.0,0.3380281690140845,35,66.74358974358974,2,1.8461538461538463,7,6.3076923076923075,5.435897435897436,6,11,11.0,11,0.0,1,1.8461538461538463,3,0.6703675950928768,0.78,0.0,84.39454984664917
1,0,0.39812080536912753,0.12979553448072254,0.3355704697986577,1.0,0.3380281690140845,35,58.7,2,2.06,7,6.32,5.68,6,0,0.0,0,0.0,1,2.06,3,0.7117096404046371,0.86,0.0003104209899902344,268.17006373405457
2,0,0.37852348993288587,0.09628007431102979,0.32885906040268453,1.0,0.35010060362173034,34,42.14,5,2.22,9,6.88,6.44,16,0,0.0,0,0.0,1,2.22,5,0.648074069840786,0.62,0.00029969215393066406,57.88868999481201
3,0,0.37033557046979865,0.09366867672308656,0.32885906040268453,1.0,0.35010060362173034,34,39.36,5,2.58,9,7.34,7.8,16,0,0.0,0,0.0,1,2.58,9,1.6548013013467133,0.64,0.00031280517578125,10.934909582138062
4,0,0.3931543624161074,0.1552938922310884,0.32885906040268453,1.0,0.35010060362173034,34,39.5,5,4.0,9,8.4,12.46,16,0,0.0,0,0.0,1,4.0,9,2.5475077857324298,0.84,0.0002932548522949219,32.25238513946533
5,0,0.3484563758389262,0.02083090011765515,0.3221476510067114,0.40268456375838924,0.34004024144869216,37,34.22,7,3.6,11,8.2,11.54,24,0,0.0,0,0.0,1,3.6,8,2.1852940772540506,0.7,0.0002970695495605469,42.62515568733215
6,0,0.3757046979865772,0.12920458429365184,0.3221476510067114,1.0,0.34004024144869216,37,35.5,7,5.2,11,9.16,16.14,24,0,0.0,0,0.0,1,5.2,11,2.166535841157586,0.96,0.0003006458282470703,57.484997510910034
7,0,0.38456375838926177,0.15620868446156141,0.3221476510067114,1.0,0.34004024144869216,37,39.08,7,5.8,11,9.8,18.82,24,0,0.0,0,0.0,1,5.8,12,2.5555062599997598,0.94,0.0002999305725097656,70.6771309375763
8,0,0.3970469798657718,0.17828292819665736,0.3221476510067114,1.0,0.34004024144869216,37,42.36,7,6.3,11,10.04,19.9,24,0,0.0,0,0.0,1,6.3,14,2.6360917267494193,0.96,0.0003046989440917969,58.66498017311096
9,0,0.434765100671141,0.22846919103797592,0.3221476510067114,1.0,0.34004024144869216,37,47.04,7,6.58,11,10.26,20.84,24,0,0.0,0,0.0,1,6.58,13,2.499714269385889,0.92,0.0002884864807128906,51.065916538238525
10,0,0.35369127516778526,0.09328859060402686,0.3221476510067114,1.0,0.34004024144869216,37,44.38,7,7.12,11,10.56,22.44,24,0,0.0,0,0.0,3,7.12,15,2.446488528983731,0.98,0.0003216266632080078,81.09789752960205
11,0,0.3820134228187919,0.15651743452561925,0.3221476510067114,1.0,0.34004024144869216,37,46.4,7,6.94,11,10.32,21.62,24,0,0.0,0,0.0,3,6.94,16,2.6909523388190877,0.96,0.0002970695495605469,74.69784426689148
12,0,0.3967785234899329,0.17873852921528663,0.3221476510067114,1.0,0.34004024144869216,37,40.74,7,6.42,11,10.04,20.32,24,0,0.0,0,0.0,1,6.42,12,2.7036634254964773,0.92,0.00030040740966796875,68.12865352630615
13,1,0.3785234899328859,0.1576767045435492,0.3221476510067114,1.0,0.34004024144869216,37,40.44897959183673,7,6.285714285714286,11,10.0,19.857142857142858,24,1,1.0,1,0.0,2,6.285714285714286,12,2.1505813167606567,0.9,0.00030803680419921875,67.02483201026917
14,0,0.3446979865771812,0.016590082744140023,0.3221476510067114,0.40268456375838924,0.34004024144869216,37,38.02,7,6.2,11,9.88,19.36,24,0,0.0,0,0.0,2,6.2,11,1.9166296949998198,0.96,0.00030684471130371094,75.27467203140259
15,0,0.3681879194630872,0.13010450976120888,0.31543624161073824,1.0,0.3480885311871227,43,42.26,8,6.04,11,9.66,18.86,25,0,0.0,0,0.0,2,6.04,11,2.128139937089837,1.0,0.0003147125244140625,67.5545105934143
16,0,0.36872483221476515,0.12981614645893164,0.31543624161073824,1.0,0.3480885311871227,43,45.06,8,7.26,11,10.52,22.62,25,0,0.0,0,0.0,2,7.26,16,3.186771125148719,0.98,0.0002980232238769531,66.4116358757019
17,0,0.39315436241610735,0.17986622257781842,0.3087248322147651,1.0,0.3420523138832998,43,50.8,6,7.56,9,10.3,22.36,17,0,0.0,0,0.0,2,7.56,16,3.5292364902456783,0.92,0.0002846717834472656,62.561052083969116
18,0,0.4429530201342282,0.2436084451454662,0.3087248322147651,1.0,0.3420523138832998,43,52.1,6,7.9,9,10.76,24.04,17,0,0.0,0,0.0,2,7.9,21,3.494894235064305,0.94,0.00028824806213378906,67.84565019607544
19,0,0.3781208053691275,0.15785149294385054,0.3087248322147651,1.0,0.3420523138832998,43,53.46,6,7.26,9,10.24,21.52,17,0,0.0,0,0.0,2,7.26,17,3.154588494784791,0.88,0.0002999305725097656,63.475600242614746
20,0,0.4291275167785235,0.23106519972906384,0.3087248322147651,1.0,0.3420523138832998,43,53.3,6,6.94,9,10.04,20.7,17,0,0.0,0,0.0,2,6.94,17,2.852925458800035,0.92,0.0003058910369873047,63.21738028526306
21,0,0.3622818791946309,0.13158806262121311,0.3087248322147651,1.0,0.3420523138832998,43,49.56,6,6.4,9,9.66,19.1,17,0,0.0,0,0.0,1,6.4,13,2.4660966430902955,0.86,0.0002830028533935547,58.408459186553955
22,0,0.37395973154362416,0.1591271629501358,0.3087248322147651,1.0,0.3420523138832998,43,45.4,6,5.74,9,9.34,17.24,17,0,0.0,0,0.0,1,5.74,10,1.675879300120217,0.84,0.000308990478515625,47.384490728378296
