gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,invalid_count_min,invalid_count_avg,invalid_count_max,invalid_count_std,nodes_length_min,nodes_length_avg,nodes_length_max,nodes_length_std,structural_diversity,selection_time,generation_time
0,12,0.5638926174496643,0.27544425462918054,0.32885906040268453,1.0,0.358148893360161,29,63.921052631578945,2,2.0789473684210527,7,6.526315789473684,6.078947368421052,7,12,12.0,12,0.0,1,2.0789473684210527,3,0.6316678458061009,0.76,0.0,29.67707347869873
1,0,0.38993288590604025,0.12769503612611552,0.32885906040268453,1.0,0.3561368209255533,29,54.34,2,2.26,7,6.8,6.9,7,0,0.0,0,0.0,1,2.26,5,0.777489418525016,0.8,0.0002930164337158203,37.125733375549316
2,1,0.3950335570469798,0.15901939266868903,0.32885906040268453,1.0,0.36016096579476864,29,44.183673469387756,2,2.163265306122449,7,6.938775510204081,7.0,7,1,1.0,1,0.0,1,2.163265306122449,6,0.6565991539589371,0.64,0.00028443336486816406,26.059752464294434
3,2,0.4154362416107382,0.1958501498685906,0.32885906040268453,1.0,0.358148893360161,29,34.229166666666664,2,2.2291666666666665,7,7.208333333333333,7.8125,7,2,2.0,2,0.0,1,2.2291666666666665,6,0.9506903053768817,0.5,0.00027942657470703125,10.054538488388062
4,0,0.40147651006711416,0.17816328398059353,0.32885906040268453,1.0,0.358148893360161,29,34.98,2,2.18,7,7.12,7.48,7,0,0.0,0,0.0,1,2.18,6,0.6907552802135191,0.56,0.00027489662170410156,9.55519700050354
5,0,0.43060402684563764,0.20053691275167787,0.32885906040268453,1.0,0.36016096579476864,29,32.38,2,2.26,7,7.16,7.82,7,0,0.0,0,0.0,2,2.26,8,1.1030569767140548,0.5,0.0002760887145996094,11.025144100189209
6,0,0.44563758389261743,0.21508784474212578,0.32885906040268453,1.0,0.3561368209255533,29,32.58,2,2.54,7,7.46,8.84,7,0,0.0,0,0.0,2,2.54,7,1.2488361929151053,0.64,0.0002758502960205078,22.966609239578247
7,1,0.3924832214765101,0.1587315151054217,0.32885906040268453,1.0,0.36016096579476864,29,33.36734693877551,2,2.0816326530612246,7,7.040816326530612,7.183673469387755,7,1,1.0,1,0.0,1,2.0816326530612246,5,0.5337264707490451,0.46,0.0002961158752441406,14.666988372802734
8,0,0.3930201342281879,0.1562485295638211,0.32885906040268453,1.0,0.36016096579476864,29,32.52,2,2.14,7,7.12,7.42,7,0,0.0,0,0.0,2,2.14,6,0.6391959234627741,0.54,0.0002741813659667969,8.998672008514404
9,1,0.3970469798657718,0.15881163113306562,0.32885906040268453,1.0,0.358148893360161,29,31.551020408163264,2,2.1020408163265305,7,7.040816326530612,7.26530612244898,7,1,1.0,1,0.0,1,2.1020408163265305,5,0.5861206488138653,0.46,0.0003077983856201172,10.360965967178345
10,2,0.4096644295302013,0.17632986437674963,0.3221476510067114,1.0,0.37424547283702214,29,32.333333333333336,7,2.2083333333333335,11,7.125,7.625,24,2,2.0,2,0.0,1,2.2083333333333335,7,0.9666422105001247,0.6,0.0002918243408203125,8.609781265258789
11,0,0.38442953020134235,0.13002852988766905,0.3221476510067114,1.0,0.37424547283702214,29,32.06,7,3.0,11,7.72,10.1,24,0,0.0,0,0.0,2,3.0,11,2.1852940772540506,0.6,0.00028324127197265625,12.258254528045654
12,0,0.3987919463087249,0.1627490624573637,0.3221476510067114,1.0,0.37424547283702214,29,34.94,7,3.18,11,7.9,11.0,24,0,0.0,0,0.0,1,3.18,9,2.191728420536576,0.56,0.000274658203125,12.248248815536499
